name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
NBA 2K14,PS4,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.23,1.45,85,20,6.5,368
SingStar Pop,PS2,2007,Misc,Sony Computer Entertainment,0.04,1.08,0,0.32,1.44,73,13,7.5,8
Disney Infinity,X360,2013,Action,Disney Interactive Studios,0.97,0.34,0,0.13,1.44,74,38,6.5,79
My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.89,0,0.18,1.44,71,7,6.8,5
Tiger Woods PGA Tour 2005,PS2,2004,Sports,Electronic Arts,1.03,0.32,0,0.09,1.44,88,30,8.2,20
NCAA Football 2003,PS2,2002,Sports,Electronic Arts,1.16,0.08,0,0.19,1.44,91,19,8.6,27
Star Wars: The Force Unleashed II,X360,2010,Action,LucasArts,0.95,0.37,0,0.11,1.43,61,59,5.7,180
Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,0.8,0.54,0,0.09,1.43,77,4,7.9,8
WWE SmackDown vs Raw 2008,X360,2007,Fighting,THQ,0.92,0.38,0,0.13,1.43,71,41,6.8,48
Kinect Joy Ride,X360,2010,Racing,Microsoft Game Studios,0.92,0.39,0,0.12,1.43,52,46,5,20
Smarty Pants,Wii,2007,Misc,Electronic Arts,0.52,0.75,0,0.16,1.43,65,26,7.6,10
Classic NES Series: Super Mario Bros.,GBA,2004,Platform,Nintendo,0,0,1.39,0.03,1.43,84,14,8.6,44
Anno 2070,PC,2011,Strategy,Ubisoft,0,1.13,0,0.29,1.43,83,33,7,493
Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,0.96,0.33,0,0.13,1.43,63,12,7.5,11
Sonic Rivals,PSP,2006,Racing,Sega,0.73,0.42,0,0.27,1.42,64,25,7.8,38
BioShock,PS3,2008,Shooter,Take-Two Interactive,0.75,0.46,0.01,0.2,1.42,94,51,8.7,881
Mass Effect 3,PS3,2012,Role-Playing,Electronic Arts,0.63,0.56,0.03,0.2,1.42,93,30,5.5,1849
Cabela's Big Game Hunter,PS2,2002,Sports,Activision,0.7,0.54,0,0.18,1.42,59,7,7.8,12
SimCity (2013),PC,2013,Simulation,Electronic Arts,0.48,0.77,0,0.17,1.42,64,75,2.2,4572
The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,89,56,9,203
NFL Street,PS2,2004,Sports,Electronic Arts,1.15,0.08,0,0.19,1.42,80,36,8.9,45
Dead Space 2,PS3,2011,Shooter,Electronic Arts,0.73,0.48,0,0.21,1.42,89,78,8.4,535
Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,0.8,0.47,0,0.14,1.42,81,18,8.7,34
Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42,80,61,7.9,746
Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1.22,0.06,0.02,0.11,1.42,76,54,7.9,116
Dragon Quest Monsters: Joker 2,DS,2010,Role-Playing,Square Enix,0.09,0.07,1.24,0.02,1.41,77,33,7.3,15
UFC Undisputed 2010,PS3,2010,Fighting,THQ,0.8,0.4,0.02,0.18,1.41,85,54,7.2,48
Medal of Honor: Warfighter,PS3,2012,Action,Electronic Arts,0.48,0.62,0.06,0.26,1.41,55,22,6,250
Sonic's Ultimate Genesis Collection,X360,2009,Misc,Sega,0.85,0.43,0,0.13,1.41,79,45,8.5,40
The Sims 3,Wii,2010,Simulation,Electronic Arts,0.57,0.69,0,0.14,1.41,44.05418125392626,NA,2.5,31
Diablo III,X360,2013,Role-Playing,Activision,0.9,0.39,0,0.12,1.41,87,42,6.6,384
Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,1.19,0.17,0,0.05,1.41,91,15,8.4,98
NASCAR 2005: Chase for the Cup,PS2,2004,Racing,Electronic Arts,0.69,0.54,0,0.18,1.41,87,19,8.4,15
Fight Night Round 4,X360,2009,Fighting,Electronic Arts,0.95,0.33,0,0.13,1.4,87,76,8.1,86
Spider-Man: The Movie,XB,2002,Action,Activision,1.07,0.28,0,0.05,1.4,79,29,7.5,11
LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,0.58,0.5,0,0.32,1.4,83,11,8.6,26
Dead Space,X360,2008,Action,Electronic Arts,0.89,0.39,0,0.13,1.4,89,79,8.7,768
Need For Speed: Undercover,PS2,2008,Racing,Electronic Arts,0.38,0.08,0.03,0.93,1.4,66.43200612213548,NA,6.5,38
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision,0.9,0.38,0,0.12,1.4,72,13,6.1,14
Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,0.36,0.44,0.32,0.27,1.4,88,58,8.2,65
Sonic Advance 3,GBA,2004,Platform,THQ,0.74,0.52,0.08,0.06,1.4,79,30,8.4,34
Colin McRae Rally 3,PS2,2002,Racing,Codemasters,0.03,1.05,0.02,0.3,1.4,86,25,7.7,24
Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,86,85,8.2,977
Madden NFL 2002,PS,2001,Sports,Electronic Arts,0.78,0.53,0,0.09,1.39,88,9,8,7
Dynasty Warriors 5,PS2,2005,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39,69,29,8.8,68
Injustice: Gods Among Us,X360,2013,Fighting,Warner Bros. Interactive Entertainment,0.97,0.3,0,0.11,1.38,81,63,7.9,362
Far Cry 2,PS3,2008,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38,85,49,6.4,241
Yoshi's New Island,3DS,2014,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38,64,71,6.1,155
LEGO Batman 2: DC Super Heroes,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.37,0,0.11,1.38,69.78867985236685,NA,7.1,12
True Crime: Streets of LA,XB,2003,Action,Activision,0.96,0.37,0,0.05,1.38,77,39,7.8,28
Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,0.83,0.43,0,0.13,1.38,60,77,6.1,1409
Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0,0.14,1.38,86,21,7.3,279
Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86,102,8,1288
Sonic Generations,X360,2011,Platform,Sega,0.71,0.53,0,0.13,1.38,77,49,8.3,340
Dave Mirra Freestyle BMX 2,PS2,2001,Sports,Acclaim Entertainment,0.67,0.53,0,0.18,1.38,81,21,8.1,18
Bakugan: Battle Brawlers,DS,2009,Action,Activision,1.26,0.02,0,0.1,1.38,60,6,6.7,7
LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,LucasArts,0.6,0.01,0,0.76,1.37,77,12,8.4,16
Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix,0.76,0.47,0.02,0.12,1.37,89,70,8.3,684
Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,0.33,0.41,0.54,0.1,1.37,81,44,6.1,60
Call of Duty: Black Ops,Wii,2010,Shooter,Activision,0.8,0.45,0,0.12,1.37,80,25,5.8,87
Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix,0.5,0.59,0.07,0.22,1.37,89,50,8.2,682
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision,0.99,0.33,0,0.05,1.37,86,67,8.6,140
The Sims 2,PSP,2005,Simulation,Electronic Arts,0.49,0.55,0,0.33,1.37,65,17,6.9,32
Dead Rising 2,PS3,2010,Action,Capcom,0.43,0.56,0.15,0.21,1.36,80,54,6.7,178
Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.36,78,45,7.1,52
Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft,0.86,0.45,0,0.06,1.36,80,53,8.9,58
Need for Speed: The Run,X360,2011,Action,Electronic Arts,0.63,0.57,0,0.15,1.36,68,65,6,160
Crash Bandicoot 2: N-Tranced,GBA,2003,Platform,Vivendi Games,0.63,0.66,0,0.07,1.36,75,21,7.8,30
Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36,83,21,5.9,371
SingStar Abba,PS2,2008,Misc,Sony Computer Entertainment,0.23,0.04,0,1.09,1.36,64,11,6.065282839336102,NA
Dead to Rights,PS2,2002,Shooter,Electronic Arts,0.67,0.52,0,0.17,1.36,73,20,8.9,36
WWE '13,PS3,2012,Action,THQ,0.51,0.6,0,0.25,1.35,76,24,8.1,99
Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,0.7,0.52,0,0.13,1.35,63,16,6.3,6
Gardening Mama,DS,2009,Puzzle,505 Games,0.79,0.42,0.01,0.13,1.35,60,17,9.3,4
Burnout Paradise,X360,2008,Racing,Electronic Arts,0.63,0.57,0.01,0.14,1.35,88,68,6.9,279
Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,87,12,8,585
MotorStorm: Pacific Rift,PS3,2008,Racing,Sony Computer Entertainment,0.43,0.65,0.02,0.25,1.35,82,63,8,318
Samurai Warriors,PS2,2004,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35,73,37,8.7,23
Battlefield 4,PC,2013,Shooter,Electronic Arts,0.39,0.87,0,0.1,1.35,81,52,6,3517
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,0.78,0.44,0,0.12,1.35,84,96,6.2,815
FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,0.2,0.76,0,0.39,1.35,79,7,7.4,15
FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,84,8,8.9,21
Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,1.22,0.03,0,0.09,1.35,54.1242024446204,NA,4.3,4
FIFA Soccer 08,X360,2007,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,82,43,7.9,57
Test Drive,PS2,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34,73,19,7.4,23
Devil May Cry 4,X360,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.34,84,61,8,248
Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft,0.66,0.44,0.04,0.21,1.34,81,32,7.9,93
Metroid: Other M,Wii,2010,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,79,71,6.5,482
Crysis 2,X360,2011,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34,84,72,7.5,533
Chrono Trigger,DS,2008,Role-Playing,Square Enix,0.61,0.16,0.49,0.08,1.34,92,57,8.9,440
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom,0.81,0.28,0.11,0.14,1.34,84,56,7.3,147
Doom 3,XB,2005,Shooter,Activision,0.85,0.43,0,0.06,1.34,88,71,7.4,116
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,0.77,0.45,0,0.12,1.34,74,24,6.9,252
F1 2010,PS3,2010,Racing,Codemasters,0.25,0.75,0.08,0.26,1.34,84,46,7.8,83
Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,0.24,0.03,1.03,0.04,1.34,71,34,8.6,78
Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,80,49,8.3,30
Need for Speed Carbon,PS2,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,74,26,8.4,60
Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1.09,0.04,0.1,0.1,1.34,79,76,7.1,187
NBA 2K15,PS3,2014,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34,49.64863747097856,NA,3.5,22
Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,0.65,0.51,0,0.17,1.34,73,27,8.2,63
Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,84,50,8.1,203
MVP Baseball 2004,PS2,2004,Sports,Electronic Arts,1.1,0.06,0,0.18,1.34,90,28,8.6,51
Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83,100,8.1,1156
Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,92,60,8.8,279
Corvette,PS2,2004,Racing,TDK Mediactive,0.65,0.51,0,0.17,1.33,57,15,6.5,21
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,0.62,0.49,0.01,0.2,1.33,74,27,7.3,41
Skylanders SWAP Force,X360,2013,Platform,Activision,0.86,0.34,0,0.12,1.32,83,37,5.7,45
Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,0.58,0.56,0.05,0.14,1.32,93,85,8.3,280
UFC Undisputed 2010,X360,2010,Fighting,THQ,0.9,0.31,0,0.11,1.32,84,70,6.7,80
World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,0.01,0.13,0,1.18,1.32,91,47,7.5,930
NFL 2K3,PS2,2002,Sports,Atari,1.06,0.08,0,0.18,1.32,93,20,7.4,25
Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70,71,7.2,318
Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft,0.79,0.41,0,0.11,1.32,73,32,7.5,25
Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts,0.69,0.37,0.02,0.24,1.32,74,36,8.5,38
IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0,0.17,1.31,71.46701671748255,NA,7.4,63
Rage,PS3,2011,Shooter,Bethesda Softworks,0.47,0.58,0.06,0.2,1.31,81,37,6.2,353
LEGO Harry Potter: Years 1-4,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.55,0.55,0,0.21,1.31,79,42,8,52
Madagascar,PS2,2005,Platform,Activision,0.78,0.45,0,0.07,1.31,69,25,7.4,25
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0,0.11,1.31,91,13,9.2,3963
Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,0.64,0.5,0,0.17,1.31,61,20,7.3,27
[Prototype],X360,2009,Action,Activision,0.84,0.35,0,0.12,1.31,78,83,7.8,356
Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,0.84,0.43,0,0.04,1.31,94,76,7.2,139
The Beatles: Rock Band,X360,2009,Misc,MTV Games,0.97,0.23,0,0.11,1.3,89,76,8.6,127
NBA Live 07,PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,63,12,6,39
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78,83,8.5,376
Skylanders Giants,X360,2012,Action,Activision,0.75,0.44,0,0.11,1.3,80,35,6.6,38
SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,0,1.02,1.3,78,22,8.3,6
Tekken 6,X360,2009,Fighting,Namco Bandai Games,0.71,0.41,0.05,0.12,1.3,80,59,7,132
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0,0.11,1.3,78,22,6.1,402
Far Cry 4,PS3,2014,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29,70.90757109577731,NA,7.3,113
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,68,25,8.2,25
LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.39,0,0.19,1.29,75,24,7.7,33
Crysis 2,PS3,2011,Action,Electronic Arts,0.46,0.56,0.06,0.21,1.29,85,54,7.2,406
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,0.93,0.34,0,0.02,1.29,49,10,6.2,5
Namco Museum DS,DS,2007,Misc,Atari,1.13,0.01,0.06,0.09,1.29,67,19,5.9,8
Deal or No Deal,Wii,2009,Misc,Zoo Games,1.2,0,0,0.09,1.29,56,4,5,5
Transformers,PS2,2004,Shooter,Atari,0.63,0.49,0,0.16,1.29,75,51,8.6,27
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74,26,7.8,387
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.51,0.67,0,0.1,1.29,84,38,5.4,7512
Sonic Colors,DS,2010,Platform,Sega,0.69,0.47,0.01,0.12,1.29,79,26,7.9,66
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72,53,7.5,292
EA Playground,Wii,2007,Sports,Electronic Arts,0.68,0.47,0,0.13,1.29,66,32,7.6,30
Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1.1,0.03,0.06,0.09,1.28,77.06147293453486,NA,8.4,13
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.78,0.38,0,0.12,1.28,77,11,8.4,613
Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0,0.16,1.28,85,51,8.4,57
LEGO Batman: The Videogame,PSP,N/A,Action,Warner Bros. Interactive Entertainment,0.57,0.44,0,0.27,1.28,73,5,7.4,10
Manhunt,PS2,2003,Action,Take-Two Interactive,0.63,0.49,0,0.16,1.28,76,47,8.3,136
Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28,67,21,7.3,26
Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0,0.16,1.28,89,34,8.9,557
Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,93,12,9.4,358
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.03,0.14,0,0.1,1.27,73,16,7.2,19
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0,0.11,1.27,69,8,7.2,26
The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0,0,1.27,76,31,6.6,71
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,91,69,8.1,1107
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,83,75,8.7,487
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,59,46,6.3,134
LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0,0.52,1.27,77,8,8.9,17
NBA 2K9,X360,2008,Sports,Take-Two Interactive,1,0.16,0,0.11,1.27,84,32,7.2,44
Tony Hawk's Underground,XB,2003,Sports,Activision,0.85,0.37,0,0.05,1.27,85,33,9.1,26
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75,70,6.2,1311
Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo,0.75,0.39,0,0.12,1.27,65,28,6.244031221878077,NA
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75,35,8.5,60
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0,0.11,1.27,30,4,2,23
Valkyria Chronicles,PS3,2008,Role-Playing,Sega,0.71,0.19,0.24,0.13,1.27,86,60,8.6,433
WWE '12,X360,2011,Fighting,THQ,0.74,0.4,0,0.12,1.27,71,52,6.3,89
Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27,57,27,7.9,139
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,69,4,6.3,4
WWE '13,X360,2012,Action,THQ,0.72,0.44,0,0.11,1.27,78,46,8,110
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.43,0.36,0.32,0.16,1.27,85,50,8.5,332
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,80,6,4.9,123
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.76,0.39,0,0.11,1.26,79,8,8.1,22
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.72,0,0.15,1.26,68,36,5.8,21
Football Manager 2011,PC,2010,Sports,Sega,0,1.01,0,0.25,1.26,85,23,8.4,77
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,59,20,7.7,6
Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,0.45,0.55,0.05,0.22,1.26,75,42,7.2,166
LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,0.77,0.37,0,0.11,1.25,65,29,8.9,51
NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25,86,10,8,6
Saints Row IV,PS3,2013,Action,Deep Silver,0.56,0.41,0.09,0.19,1.25,76,26,6.3,278
Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0,0.01,0.75,1.25,68,7,7.4,33
Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25,58.040321796557016,NA,5,332
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.16,0.02,0.13,1.25,63,64,6.9,223
Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1,0.13,0.02,0.1,1.25,83,54,8.5,134
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,64,27,8.3,74
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,79,62,8.4,194
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25,86,32,7.6,81
LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.35,0.61,0.02,0.27,1.25,88,71,8.6,348
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,69,44,8.8,190
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0,0,1.25,74,22,8.5,135
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0,0.16,1.25,52,37,6.2,106
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0,0.17,1.25,87,45,8.6,34
Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,81,51,8.9,155
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.67,0,0.12,1.24,52,15,6.8,4
Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,0.61,0.48,0,0.16,1.24,87,29,8.3,90
Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0,0.06,1.24,85,10,9,96
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0,0,0.55,1.24,78,9,6.9,34
LEGO Harry Potter: Years 5-7,Wii,N/A,Action,Warner Bros. Interactive Entertainment,0.69,0.42,0,0.12,1.24,76,8,7.8,13
Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,0.82,0.38,0,0.04,1.24,61,44,8.1,54
[Prototype],PS3,2009,Action,Activision,0.65,0.4,0,0.19,1.24,79,53,7.7,308
FIFA Street,PS3,2012,Sports,Electronic Arts,0.12,0.89,0,0.23,1.23,76,36,6.4,66
Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0,0.16,1.23,32,6,4.6,29
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.08,0.02,0,0.13,1.23,83,30,5.9,39
Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,91,89,8.8,152
Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,0.59,0.57,0,0.07,1.23,70,16,8.1,19
Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0,0.16,1.23,57,51,5.5,102
Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23,63,38,7.2,69
LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,0.64,0.49,0,0.11,1.23,80,49,8.5,73
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,0.88,0.33,0,0.02,1.23,70.90757109577731,NA,7.3,6
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,0.1,1.23,76,81,8.3,662
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,80,22,9.1,37
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1,0.13,0,0.1,1.23,70,59,6.7,48
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,75,31,7.3,42
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.54,0.55,0,0.13,1.23,63,6,7.7,9
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82,56,7.8,57
Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,0.29,0.18,0.67,0.09,1.22,78,65,8.2,468
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.09,0.03,0,0.09,1.22,63,39,7.5,27
Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,80,43,8.5,48
Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,86,29,9.5,150
Max Payne,XB,2001,Shooter,Take-Two Interactive,0.98,0.19,0,0.05,1.22,89,24,8.3,61
NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22,89,19,7.8,16
NASCAR Thunder 2003,PS2,N/A,Racing,Unknown,0.6,0.46,0,0.16,1.22,84,16,8.7,17
Cars,PS2,2006,Racing,THQ,1.01,0.04,0,0.16,1.21,71,30,8.4,12
Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios,0.93,0.24,0,0.04,1.21,70,28,6.9,16
Call of Duty: Finest Hour,XB,2004,Shooter,Activision,0.78,0.4,0,0.04,1.21,73,55,7.8,22
Final Fantasy IV,DS,2007,Simulation,Square Enix,0.51,0.04,0.62,0.05,1.21,85,52,7.7,164
Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts,1.05,0.05,0.01,0.1,1.21,69,22,8.5,111
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.21,85,69,8.1,206
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0,0.04,1.21,86,41,8.6,184
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.2,1.21,73,47,7.4,237
Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,86,13,9,91
Need for Speed Underground,GC,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,83,24,9,45
