rank,name,basename,genre,esrb_rating,platform,publisher,developer,jp_sales,year
1684,FIFA 17,fifa-17,Sports,E,playstation,Electronic Arts,EA Canada,0.04,2016
1685,Metroid: Other M,metroid-other-m,Action,T,nintendo,Nintendo,Nintendo SPD Production Group 1/Team Ninja,0.13,2010
1688,Dance Dance Revolution (Japan),dance-dance-revolution-japan,Simulation,unrated,playstation,Konami,Konami Computer Entertainment Tokyo,1.26,1999
1691,Burnout Paradise,burnout-paradise,Racing,E10,xbox,Electronic Arts,Criterion,0.01,2008
1700,FIFA Soccer 09,fifa-soccer-09,Sports,E,playstation,EA Sports,EA Canada,0.02,2008
1703,FIFA Soccer 08,fifa-soccer-08,Sports,E,xbox,EA Sports,EA Canada,0.01,2007
1704,Test Drive,test-drive,Racing,T,playstation,Atari,Pitbull Syndicate,0.01,2002
1705,Tom Clancy's Rainbow Six: Vegas 2,tom-clancys-rainbow-six-vegas-2,Shooter,M,playstation,Ubisoft,Ubisoft Montreal,0.04,2008
1706,Devil May Cry 4,devil-may-cry-4,Action,M,xbox,Capcom,Capcom,0.08,2008
1707,F1 2010,f1-2010,Racing,E,playstation,Codemasters,Codemasters Birmingham,0.08,2010
1710,The ICO & Shadow of the Colossus Collection,the-ico-amp-shadow-of-the-colossus-collection,Adventure,T,playstation,Sony Computer Entertainment,Bluepoint Games,0.13,2011
1711,Donkey Kong Jungle Beat,donkey-kong-jungle-beat,Platform,E10,nintendo,Nintendo,Nintendo EAD Tokyo,0.24,2005
1712,Need for Speed Carbon,need-for-speed-carbon,Racing,E10,playstation,Electronic Arts,EA Black Box,0.05,2006
1713,Battlefield: Bad Company,battlefield-bad-company,Shooter,T,playstation,Electronic Arts,EA Digital Illusions CE,0.05,2008
1719,Crysis 2,crysis-2,Shooter,M,playstation,Electronic Arts,Crytek,0.06,2011
1720,Saints Row IV,saints-row-iv,Action,M,playstation,Deep Silver,Volition Inc.,0.09,2013
1721,Alan Wake,alan-wake,Action,T,xbox,Microsoft Game Studios,Remedy Entertainment,0.05,2010
1722,Spider-Man: The Movie,spider-man-the-movie,Platform,E,nintendo,Activision,Digital Eclipse,0.01,2002
1727,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,E,nintendo,Activision,Natsume,0.01,2000
1732,Grand Theft Auto: Chinatown Wars,grand-theft-auto-chinatown-wars,Adventure,M,other,Rockstar Games,Rockstar Leeds/North,0.05,2009
1733,WWE SmackDown vs Raw 2008,wwe-smackdown-vs-raw-2008,Fighting,T,playstation,THQ,Yuke's Media Creations,0.01,2007
1735,UFC Undisputed 2010,ufc-undisputed-2010,Fighting,T,xbox,THQ,Yuke's Future Media Creators,0,2010
1736,Fallout 76,fallout-76,Role-Playing,M,playstation,Bethesda Softworks,Bethesda Game Studios,0.1,2018
1737,Need for Speed Underground Rivals,need-for-speed-underground-rivals,Racing,E,playstation,Electronic Arts,Team Fusion,0.02,2005
1739,TOCA 2 Touring Car Championship,toca-2-touring-car-championship,Racing,E,playstation,Codemasters,Codemasters,0.02,1999
1741,MAG: Massive Action Game,mag-massive-action-game,Shooter,T,playstation,Sony Computer Entertainment,Zipper Interactive,0.09,2010
1747,Rage,rage,Shooter,M,playstation,Bethesda Softworks,id Software,0.06,2011
1753,Lego Star Wars: The Force Awakens,lego-star-wars-the-force-awakens,Action-Adventure,E10,playstation,Warner Bros. Interactive Entertainment,TT Fusion,0.02,2016
1766,NBA Live 07,nba-live-07,Sports,E,playstation,EA Sports,EA Canada,0.02,2006
1781,Assassin's Creed: Rogue,assassins-creed-rogue,Action,M,playstation,Ubisoft,Ubisoft Sofia,0.07,2014
1783,Digimon World,digimon-world,Role-Playing,T,playstation,Bandai,Bandai,0.28,2000
1785,High School Musical 3: Senior Year DANCE!,high-school-musical-3-senior-year-dance,Misc,E,nintendo,Disney Interactive Studios,Page 44 Studios,0,2008
1786,The Last Guardian,the-last-guardian,Action-Adventure,T,playstation,Sony Interactive Entertainment,SIE Japan Studio,0.13,2016
1788,Mega Man Battle Network 3 Blue / White Version,mega-man-battle-network-3-blue,Role-Playing,E,nintendo,Capcom,Capcom,0.85,2003
1789,Watch Dogs,watch-dogs,Action-Adventure,M,xbox,Ubisoft,Ubisoft Montreal,0.01,2014
1790,Dark Souls II,dark-souls-ii,Role-Playing,T,playstation,Namco Bandai Games,From Software,0.41,2015
1797,Gold's Gym: Cardio Workout,golds-gym-cardio-workout,Sports,E,nintendo,Ubisoft,Rocket Company,0.06,2009
1799,Borderlands: The Handsome Collection,borderlands-the-handsome-collection,Shooter,unrated,playstation,2K Games,Gearbox Software,0.03,2015
1801,Project CARS,project-cars,Racing,E,playstation,Bandai Namco Games,Slightly Mad Studios,0.04,2015
1804,Need for Speed Carbon,need-for-speed-carbon,Racing,E10,nintendo,Electronic Arts,EA Black Box,0.02,2006
1806,Injustice: Gods Among Us,injustice-gods-among-us,Fighting,T,playstation,Warner Bros. Interactive Entertainment,NetherRealm Studios,0.01,2013
1814,Castlevania: Symphony of the Night,castlevania-symphony-of-the-night,Platform,T,playstation,Konami,Konami Computer Entertainment Tokyo,0.21,1997
1819,WWE '12,wwe-12,Fighting,T,xbox,THQ,"Yuke's Co., Ltd.",0,2011
1826,.hack//Infection Part 1,.hack,Role-Playing,T,playstation,Bandai,CyberConnect2,0.26,2003
1828,Need for Speed Rivals,need-for-speed-rivals,Racing,E10,playstation,Electronic Arts,Ghost Games,0.05,2013
1831,Battle Arena Toshinden,battle-arena-toshinden,Fighting,T,playstation,Sony Computer Entertainment,Tamsoft,0.53,1995
1833,Devil Dice,devil-dice,Puzzle,E,playstation,THQ,Shift,1.1,1998
1835,Hyrule Warriors,hyrule-warriors,Misc,T,nintendo,Nintendo,Omega Force,0.13,2014
1836,Brian Lara Cricket,brian-lara-cricket,Sports,unrated,playstation,Codemasters,Codemasters,0.01,1998
1838,Tomb Raider: Underworld,tomb-raider-underworld,Adventure,T,playstation,Eidos Interactive,Crystal Dynamics,0.05,2008
1841,SOCOM: U.S. Navy SEALs Confrontation,socom-us-navy-seals-confrontation,Shooter,M,playstation,Sony Computer Entertainment,Slant Six Games,0.02,2008
1842,Far Cry 4,far-cry-4,Shooter,M,playstation,Ubisoft,Ubisoft Montreal,0.09,2014
1844,Assassin's Creed: Bloodlines,assassins-creed-bloodlines,Action,M,playstation,Ubisoft,Griptonite Studio,0.05,2009
1846,Persona 4 Golden,persona-4-golden,Role-Playing,M,playstation,Atlus,Atlus,0.39,2012
1847,Star Wars: The Force Unleashed,star-wars-the-force-unleashed,Action,T,playstation,LucasArts,Krome Studios,0.01,2008
1851,Dragon Ball: Daimaou Fukkatsu,dragon-ball-daimaou-fukkatsu,Role-Playing,unrated,nintendo,Bandai,TOSE,1.25,1988
1852,Gegege no Kitarou 2: Youkai Gundan no Chousen,gegege-no-kitarou-2-youkai-gundan-no-chousen,Role-Playing,unrated,nintendo,Bandai,Bandai,1.25,1987
1856,Reel Fishing,reel-fishing,Sports,E,playstation,Natsume,Pack-In Video,0.1,1998
1857,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,T,xbox,Electronic Arts,Electronic Arts,0.02,2005
1858,Tom Clancy's Rainbow Six: Vegas,tom-clancys-rainbow-six-vegas,Shooter,M,playstation,Ubisoft,Ubisoft,0.03,2007
1859,Black,black,Shooter,M,playstation,Electronic Arts,Criterion Games,0.03,2006
1865,Cars 2,cars-2,Racing,E,other,Disney Interactive Studios,Avalanche Software,0.04,2011
1868,Ratchet: Deadlocked,ratchet-deadlocked,Shooter,T,playstation,Sony Computer Entertainment,Insomniac Games,0.22,2005
1872,Ridge Racer V,ridge-racer-v,Racing,E,playstation,Namco,Namco,0.75,2000
1873,Battlefield: Hardline,battlefield-hardline,Shooter,M,xbox,Electronic Arts,EA DICE,0.01,2015
1880,Need for Speed Carbon,need-for-speed-carbon,Racing,E10,playstation,Electronic Arts,EA Black Box,0.03,2006
1887,2010 FIFA World Cup South Africa,2010-fifa-world-cup-south-africa,Sports,E,playstation,EA Sports,EA Canada,0.07,2010
1891,Castlevania,castlevania,Platform,unrated,nintendo,Konami,Konami,0.62,1987
1894,Donkey Kong Country 2,donkey-kong-country-2,Platform,E,nintendo,Nintendo,Rare Ltd.,0.12,2004
1896,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,T,playstation,LucasArts,Savage Entertainment,0.01,2005
1897,Intelligent Qube,intelligent-qube,Puzzle,E,playstation,Sony Computer Entertainment,Sony Computer Entertainment,1,1997
1901,Pac-Man,pac-man,Puzzle,unrated,nintendo,Namco,Namco,0.85,1993
1903,Parfait: Chocolat Second Style,parfait-chocolat-second-style,Adventure,unrated,playstation,Alchemist,Alchemist,0.01,2006
1909,NBA 2K2,nba-2k2,Sports,E,playstation,Sega,Visual Concepts,0.01,2002
1915,Medal of Honor: Airborne,medal-of-honor-airborne,Shooter,T,playstation,Electronic Arts,EA Los Angeles,0.03,2007
1916,Bayonetta,bayonetta,Action,M,playstation,Sega,PlatinumGames,0.21,2010
1919,Star Wars Episode 1: Jedi Power Battles,star-wars-episode-1-jedi-power-battles,Action,T,playstation,LucasArts,LucasArts,0.01,2000
1922,Need for Speed Underground,need-for-speed-underground,Racing,E,nintendo,Electronic Arts,EA Black Box,0.01,2003
1925,Boom Blox,boom-blox,Puzzle,E,nintendo,Electronic Arts,EA Los Angeles,0,2008
1927,FIFA Soccer 11,fifa-soccer-11,Sports,E,playstation,EA Sports,HB Studios,0.01,2010
1930,World Soccer Winning Eleven 9 (JP & Others sales),world-soccer-winning-eleven-9-jp-amp-others-sales,Sports,E,playstation,Konami,Konami Computer Entertainment Tokyo,0.31,2006
1933,F1 2011,f1-2011,Racing,E,playstation,Codemasters,Codemasters Birmingham,0.11,2011
1934,Metal Gear Solid V: Ground Zeroes,metal-gear-solid-v-ground-zeroes,Action-Adventure,M,playstation,Konami Digital Entertainment,Kojima Productions,0.17,2014
1936,Mad Max (2013),mad-max-2013,Action,M,playstation,Warner Bros. Interactive Entertainment,Avalanche Studios,0.05,2015
1940,Dragon Ball Z: La Legende Saien,dragon-ball-z-la-legende-saien,Fighting,unrated,nintendo,Bandai,TOSE,1.2,1994
1943,Ganbare Goemon! Karakuri Douchuu,ganbare-goemon-karakuri-douchuu,Platform,unrated,nintendo,Konami,Konami,1.2,1986
1953,TwinBee,twinbee,Shooter,unrated,nintendo,Konami,Konami,1.2,1986
1956,Enter the Matrix,enter-the-matrix,Action,T,xbox,Atari,Shiny Entertainment,0.01,2003
1958,Shadow of the Colossus,shadow-of-the-colossus,Action-Adventure,T,playstation,Sony Interactive Entertainment,Bluepoint Games,0.05,2018
1961,Mario & Sonic at the London 2012 Olympic Games,mario-amp-sonic-at-the-london-2012-olympic-games,Sports,E,nintendo,Sega,Sega,0.27,2012
1964,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,nintendo,Konami,Konami,0.11,2008
1966,Metal Gear Solid: Portable Ops,metal-gear-solid-portable-ops,Action,M,playstation,Konami,Kojima Productions,0.38,2006
1974,Spider-Man: The Movie,spider-man-the-movie,Action,E,nintendo,Activision,Treyarch,0.01,2002
1976,Final Fantasy I & II: Dawn of Souls,final-fantasy-i-amp-ii-dawn-of-souls,Role-Playing,E,nintendo,Nintendo,Square Enix,0.29,2004
1986,R.B.I. Baseball 3,rbi-baseball-3,Sports,unrated,nintendo,Tengen,Namco,1.08,1991
1987,Resident Evil: Operation Raccoon City,resident-evil-operation-raccoon-city,Shooter,M,playstation,Capcom,Slant Six Games,0.36,2012
1989,LEGO Jurassic World,lego-jurassic-world,Action,E10,playstation,Warner Bros. Interactive Entertainment,Traveller's Tales,0.02,2015
1990,Inazuma Eleven 2: Kyoui no Shinryokusha - Fire / Blizzard,inazuma-eleven-2-kyoui-no-shinryokusha---fire,Role-Playing,unrated,other,Level 5,Level 5,1.18,2009
1991,Medal of Honor: Warfighter,medal-of-honor-warfighter,Shooter,M,xbox,Electronic Arts,Danger Close Games,0.01,2012
1992,Red Dead Redemption: Undead Nightmare,red-dead-redemption-undead-nightmare,Action,M,playstation,Rockstar Games,Rockstar San Diego,0.06,2010
1993,WWE '12,wwe-12,Fighting,T,playstation,THQ,"Yuke's Co., Ltd.",0.02,2011
1998,Mission: Impossible,mission-impossible,Action,T,nintendo,Ocean,Infogrames,0.02,1998
2000,WWE SmackDown vs. Raw 2010,wwe-smackdown-vs-raw-2010,Fighting,T,playstation,THQ,JAKKS Pacific,0.01,2009
2002,Army of Two,army-of-two,Shooter,M,playstation,Electronic Arts,EA Montreal,0.02,2008
2003,Rage Racer,rage-racer,Racing,E,playstation,Namco,Namco,0.83,1997
2006,Sunset Overdrive,sunset-overdrive,Action,M,xbox,Microsoft Studios,Insomniac Games,0,2014
2010,Bushido Blade,bushido-blade,Fighting,T,playstation,Sony Computer Entertainment,Light Weight,0.43,1997
2013,Mirror's Edge,mirrors-edge,Platform,T,xbox,Electronic Arts,EA Digital Illusions CE,0.01,2008
2019,Sega Rally Championship,sega-rally-championship,Racing,E,other,Sega,Sega-AM3,0.77,1995
2023,Medal of Honor Heroes 2,medal-of-honor-heroes-2,Shooter,T,playstation,Electronic Arts,Team Fusion,0.02,2007
2025,FIFA Soccer 10,fifa-soccer-10,Sports,E,playstation,EA Sports,EA Canada,0.01,2009
2030,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,nintendo,Bethesda Softworks,Bethesda Softworks,0.06,2017
2035,Dragon Quest VIII: Journey of the Cursed King,dragon-quest-viii-journey-of-the-cursed-king,Role-Playing,T,nintendo,Nintendo,Level 5 / Armor Project,0.88,2017
2036,Ratchet & Clank: All 4 One,ratchet-amp-clank-all-4-one,Platform,E10,playstation,Sony Computer Entertainment,Insomniac Games,0.05,2011
2037,Derby Stallion III,derby-stallion-iii,Sports,unrated,nintendo,ASCII Entertainment,ASCII Entertainment,1.15,1995
2038,Doraemon,doraemon,Action,unrated,nintendo,Hudson Soft,Hudson Soft,1.15,1986
2050,Puyo Puyo Sun Ketteiban,puyo-puyo-sun-ketteiban,Puzzle,unrated,playstation,Compile,Compile,1.07,1997
2053,007: Quantum of Solace,007-quantum-of-solace,Shooter,T,playstation,Activision,Treyarch,0.02,2008
2056,Tenchu: Wrath of Heaven,tenchu-wrath-of-heaven,Action,M,playstation,Activision,K2 LLC,0.25,2003
2057,Shadow of the Colossus,shadow-of-the-colossus,Adventure,T,playstation,Sony Computer Entertainment,Team ICO,0.2,2005
2058,Brave Fencer Musashi,brave-fencer-musashi,Role-Playing,E,playstation,Square,SquareSoft,0.65,1998
2061,Hot Shots Golf: Out of Bounds,hot-shots-golf-out-of-bounds,Sports,E,playstation,Sony Computer Entertainment,Clap Hanz,0.76,2008
2071,Final Fantasy XV,final-fantasy-xv,Role-Playing,T,xbox,Square Enix,Square Enix,0.01,2016
2074,LEGO Worlds,lego-worlds,Misc,unrated,playstation,Warner Bros. Interactive Entertainment,Traveller's Tales,0.04,2017
2076,Mobile Suit Gundam: Federation vs. Zeon,mobile-suit-gundam-federation-vs-zeon,Simulation,T,playstation,Bandai,Bandai,0.88,2002
2077,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,nintendo,Electronic Arts,EA Black Box,0.01,2004
2080,Derby Stallion 99,derby-stallion-99,Sports,unrated,playstation,ASCII Entertainment,ParityBit,1.06,1999
2082,Mirror's Edge,mirrors-edge,Platform,T,playstation,Electronic Arts,EA Digital Illusions CE,0.02,2008
2083,Rocksmith,rocksmith,Misc,T,xbox,Ubisoft,Ubisoft,0.01,2011
2084,Plants vs Zombies: Garden Warfare,plants-vs-zombies-garden-warfare,Shooter,E10,xbox,Electronic Arts,PopCap Games,0,2014
2086,The Elder Scrolls V: Skyrim VR,the-elder-scrolls-v-skyrim-vr,Role-Playing,M,playstation,Bethesda Softworks,Bethesda Softworks,0.01,2017
2091,Rocksmith,rocksmith,Misc,T,playstation,Ubisoft,Ubisoft,0.09,2011
2096,ModNation Racers,modnation-racers,Racing,E,playstation,Sony Computer Entertainment,United Front Games,0.06,2010
2099,SOCOM: U.S. Navy SEALs Fireteam Bravo,socom-us-navy-seals-fireteam-bravo,Shooter,M,playstation,Sony Computer Entertainment,Zipper Interactive,0.01,2005
2109,Need for Speed: Most Wanted (2012),need-for-speed-most-wanted-2012,Racing,E10,playstation,Electronic Arts,Criterion Games,0.01,2012
2114,Dragon Age II,dragon-age-ii,Role-Playing,M,xbox,Electronic Arts,BioWare Corp.,0.01,2011
2117,Crackdown 2,crackdown-2,Shooter,M,xbox,Microsoft Game Studios,Ruffian Games,0.02,2010
2118,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,E10,nintendo,Activision,Toys for Bob,0.02,2018
2120,Transformers: The Game,transformers-the-game,Action,T,playstation,Activision,Traveller's Tales,0,2007
2121,LEGO Marvel Super Heroes 2,lego-marvel-super-heroes-2,Action,E10,playstation,Warner Bros. Interactive Entertainment,Traveller's Tales,0,2017
2123,Castlevania: Lords of Shadow,castlevania-lords-of-shadow,Action,M,playstation,Konami,Mercury Steam,0.1,2010
2127,Arc the Lad,arc-the-lad,Role-Playing,unrated,playstation,Sony Computer Entertainment,G-Craft,1.1,1995
2134,Red Dead Redemption: Undead Nightmare,red-dead-redemption-undead-nightmare,Action,M,xbox,Rockstar Games,Rockstar San Diego,0.02,2010
2136,EA Sports UFC,ea-sports-ufc,Fighting,T,playstation,Electronic Arts,EA Canada,0.01,2014
2151,Famicom Jump: Eiyuu Retsuden,famicom-jump-eiyuu-retsuden,Role-Playing,unrated,nintendo,Bandai,TOSE,1.1,1989
2154,Lode Runner,lode-runner,Puzzle,unrated,nintendo,Broderbund,Hudson Soft,1.1,1987
2163,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,yu-gi-oh-duel-monsters-ii-dark-duel-stories,Strategy,unrated,nintendo,Konami,Konami,1.1,1999
2166,FIFA 18,fifa-18,Sports,E,nintendo,EA Sports,EA Vancouver,0.13,2017
2167,GRID,grid,Racing,E,playstation,Codemasters,Codemasters,0.03,2008
2168,NBA Live 2001,nba-live-2001,Sports,E,playstation,EA Sports,EA Canada,0.04,2001
2171,Tales of Symphonia,tales-of-symphonia,Role-Playing,T,nintendo,Namco,Namco Tales Studio,0.31,2004
2176,Medal of Honor: Airborne,medal-of-honor-airborne,Shooter,T,xbox,Electronic Arts,EA Los Angeles,0.01,2007
2177,Star Ocean: The Second Story,star-ocean-the-second-story,Role-Playing,E,playstation,Sony Computer Entertainment,tri-Ace,0.72,1999
2180,Untold Legends: Brotherhood of the Blade,untold-legends-brotherhood-of-the-blade,Role-Playing,T,playstation,Sony Online Entertainment,Sony Online Entertainment,0.01,2005
2182,Lightning Returns: Final Fantasy XIII,lightning-returns-final-fantasy-xiii,Misc,unrated,playstation,Square Enix,Unknown,0.45,2014
2185,WWE SmackDown vs. Raw 2011,wwe-smackdown-vs-raw-2011,Fighting,T,playstation,THQ,JAKKS Pacific,0.01,2010
2186,BeatMania,beatmania,Simulation,unrated,playstation,Konami,Konami,1.07,1998
2192,Bully: Scholarship Edition,bully-scholarship-edition,Action,T,xbox,Rockstar Games,Rockstar Vancouver/Mad Doc Software,0.03,2008
2194,The Godfather,the-godfather,Action,M,playstation,Electronic Arts,Headgate,0.01,2006
2195,Alien: Isolation,alien-isolation,Adventure,M,playstation,Sega,Creative Assembly,0.05,2014
2200,Skate 2,skate-2,Sports,T,xbox,Electronic Arts,EA Black Box,0.01,2009
2204,Dante's Inferno,dantes-inferno,Action,M,playstation,Electronic Arts,Visceral Games,0.04,2010
2206,Virtua Fighter 5,virtua-fighter-5,Fighting,T,playstation,Sega,Sega-AM2,0.08,2007
2207,Pro Evolution Soccer 2014,pro-evolution-soccer-2014,Sports,E,playstation,Konami Digital Entertainment,Konami,0.51,2013
2215,Grand Theft Auto: Chinatown Wars,grand-theft-auto-chinatown-wars,Adventure,M,playstation,Rockstar Games,Rockstar Leeds,0.03,2009
2217,Star Fox: Assault,star-fox-assault,Shooter,T,nintendo,Nintendo,Namco,0.19,2005
2220,Marvel vs. Capcom 3: Fate of Two Worlds,marvel-vs-capcom-3-fate-of-two-worlds,Fighting,T,xbox,Capcom,Capcom,0.03,2011
2221,Doko Demo Issyo,doko-demo-issyo,Misc,unrated,playstation,Sony Computer Entertainment,bexide,1,1999
2224,Prince of Persia,prince-of-persia,Adventure,T,playstation,Ubisoft,Ubisoft Montreal,0.03,2008
2229,Virtua Fighter,virtua-fighter,Fighting,T,other,Sega,Sega-AM2,0.77,1995
2230,MySims Agents,mysims-agents,Adventure,E,other,Electronic Arts,EA Redwood Shores,0,2009
2232,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,xbox,Konami,Konami,0.04,2008
2233,Tomb Raider: Underworld,tomb-raider-underworld,Adventure,T,xbox,Eidos Interactive,Crystal Dynamics,0.01,2008
2235,SoulCalibur III,soulcalibur-iii,Fighting,T,playstation,Namco,Namco,0.13,2005
2236,Naruto: Ultimate Ninja Storm,naruto-ultimate-ninja-storm,Fighting,T,playstation,Namco Bandai,CyberConnect2,0.09,2008
2237,Ridge Racer Revolution,ridge-racer-revolution,Racing,E,playstation,Namco,Namco,0.71,1996
2241,Spore Creatures,spore-creatures,Simulation,E,other,Electronic Arts,Foundation 9,0,2008
2245,DiRT 3,dirt-3,Racing,T,playstation,Codemasters,Codemasters,0.01,2011
2246,Simple 1500 Series Vol. 1: The Mahjong,simple-1500-series-vol-1-the-mahjong,Misc,unrated,playstation,D3 Publisher,Chat Noir,0.99,1998
2252,Endless Ocean,endless-ocean,Adventure,E,nintendo,Nintendo,Arika,0.09,2008
2255,Sonic Generations,sonic-generations,Platform,E,nintendo,Sega,Sonic Team,0.01,2011
2262,Darksiders,darksiders,Action,M,xbox,THQ,Vigil Games,0.01,2010
2264,Mercenaries 2: World in Flames,mercenaries-2-world-in-flames,Shooter,T,xbox,Electronic Arts,Pandemic Studios,0.01,2008
2267,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,T,other,Activision,n-Space,0.01,2007
2269,Resident Evil: The Darkside Chronicles,resident-evil-the-darkside-chronicles,Shooter,M,nintendo,Capcom,"Cavia, inc.",0.2,2009
2275,UFC Undisputed 3,ufc-undisputed-3,Fighting,unrated,playstation,THQ,Yukie's Osaka,0.03,2012
2277,MySims Agents,mysims-agents,Adventure,E,nintendo,Electronic Arts,EA Redwood Shores,0,2009
2278,Lego Marvel Super Heroes: Universe in Peril,lego-marvel-super-heroes-universe-in-peril,Action,E10,nintendo,Warner Bros. Interactive Entertainment,TT Fusion,0.04,2013
2279,Adventure Island,adventure-island,Platform,unrated,nintendo,Hudson Soft,Hudson Soft / West One,1.05,1988
2280,Arc the Lad II,arc-the-lad-ii,Role-Playing,unrated,playstation,Sony Computer Entertainment,ARC Entertainment,0.92,1996
2282,Derby Stallion 96,derby-stallion-96,Sports,unrated,nintendo,ASCII Entertainment,ASCII Entertainment,1.04,1996
2285,Tag Team Match M.U.S.C.L.E.,tag-team-match-muscle,Fighting,unrated,nintendo,Bandai,Bandai,1.05,1986
2286,Virtua Tennis 3,virtua-tennis-3,Sports,E,playstation,Sega,Sega-AM3,0.03,2007
2288,The Evil Within 2,the-evil-within-2,Action,M,playstation,Bethesda Softworks,Tango Gameworks,0.09,2017
2294,Rocksmith 2014,rocksmith-2014,Music,T,playstation,Ubisoft,Ubisoft San Francisco,0.05,2013
2300,WWE SmackDown vs. Raw 2010,wwe-smackdown-vs-raw-2010,Fighting,T,xbox,THQ,JAKKS Pacific,0.01,2009
2301,Sleeping Dogs,sleeping-dogs,Action-Adventure,M,playstation,Square Enix,United Front Games,0.05,2012
2302,Tales of Destiny,tales-of-destiny,Role-Playing,T,playstation,Namco,Wolfteam,0.83,1998
2305,Prey (2017),prey-2017,Shooter,M,playstation,Bethesda Softworks,Arkane Studios,0.02,2017
2307,Mega Man X4,mega-man-x4,Platform,E,playstation,Capcom,Capcom,0.22,1997
2308,Naruto: Clash of Ninja 2,naruto-clash-of-ninja-2,Fighting,T,nintendo,D3 Publisher,8ing/Raizing,0.45,2006
2310,Bomberman 64,bomberman-64,Puzzle,E,nintendo,Hudson Soft,Hudson Soft,0.31,1997
2319,MotorStorm: Arctic Edge,motorstorm-arctic-edge,Racing,T,playstation,Sony Computer Entertainment,Bigbig Studios,0,2009
2320,Brink,brink,Shooter,T,xbox,Bethesda Softworks,Splash Damage,0.01,2011
2326,Nioh,nioh,Action,M,playstation,Sony Interactive Entertainment,Team Ninja,0.2,2017
2328,Tom Clancy's Ghost Recon Advanced Warfighter 2,tom-clancys-ghost-recon-advanced-warfighter-2,Shooter,T,playstation,Ubisoft,Red Storm Entertainment / Ubisoft Paris,0.02,2007
2329,Disney Fairies: Tinker Bell and the Lost Treasure,disney-fairies-tinker-bell-and-the-lost-treasure,Adventure,E,other,Disney Interactive Studios,Hyde,0.02,2009
2330,FIFA Soccer 08,fifa-soccer-08,Sports,E,nintendo,EA Sports,EA Canada,0.01,2007
2335,Bomberman,bomberman,Puzzle,unrated,nintendo,Hudson Soft,Hudson Soft,0.85,1989
2341,Sonic Unleashed,sonic-unleashed,Platform,E10,playstation,Sega,Sonic Team,0.01,2008
2343,Dragon Ball Z: Budokai Tenkaichi 3,dragon-ball-z-budokai-tenkaichi-3,Fighting,T,nintendo,Atari,Spike / Bandai Namco Games,0.26,2007
2347,Pokemon Conquest,pokemon-conquest,Role-Playing,E,other,Nintendo,Tecmo Koei Games,0.37,2012
2350,Shrek 2,shrek-2,Platform,E,nintendo,Activision,"Luxoflux, Inc.",0.01,2004
2352,Bulletstorm,bulletstorm,Shooter,M,xbox,Electronic Arts,People Can Fly,0.01,2011
2365,Steep,steep,Sports,unrated,playstation,Ubisoft,Ubisoft Annecy,0.02,2016
2368,F1 2012,f1-2012,Racing,E,playstation,Codemasters,Codemasters Birmingham,0.05,2012
2369,EyePet,eyepet,Simulation,E,playstation,Sony Computer Entertainment,SCEE London Studio,0.04,2010
2372,LEGO Marvel's Avengers,lego-marvels-avengers,Action,E10,playstation,Warner Bros. Interactive Entertainment,Traveller's Tales,0.01,2016
2379,Prince of Persia,prince-of-persia,Adventure,T,xbox,Ubisoft,Ubisoft Montreal,0.02,2008
2382,NBA 2K10,nba-2k10,Sports,E,xbox,2K Sports,Visual Concepts,0,2009
2383,Evolve,evolve,Shooter,M,playstation,2K Games,Turtle Rock Studios,0.05,2015
2387,Breath of Fire III,breath-of-fire-iii,Role-Playing,T,playstation,Capcom,Capcom,0.46,1998
2389,Rayman Origins,rayman-origins,Platform,E10,playstation,Ubisoft,Ubisoft,0.01,2011
2390,PES 2009: Pro Evolution Soccer,pes-2009-pro-evolution-soccer,Sports,E,xbox,Konami,Konami,0.03,2008
2391,Dead or Alive 2,dead-or-alive-2,Fighting,unrated,playstation,Tecmo,Team Ninja,0.38,2000
2392,UFC Undisputed 3,ufc-undisputed-3,Fighting,unrated,xbox,THQ,Yukie's Osaka,0,2012
2395,1942,1942,Shooter,unrated,nintendo,Capcom,Capcom,0.21,1986
2402,Excitebike 64,excitebike-64,Racing,E,nintendo,Nintendo,Left Field Productions,0.19,2000
2429,SoulCalibur II,soulcalibur-ii,Fighting,T,xbox,Namco,Namco,0.03,2003
2432,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),winning-eleven-pro-evolution-soccer-2007-all-region-sales,Sports,E,xbox,Konami,Konami Computer Entertainment Tokyo,0.02,2007
2435,Tom Clancy's Splinter Cell: Blacklist,tom-clancys-splinter-cell-blacklist,Action-Adventure,M,xbox,Ubisoft,Ubisoft Toronto,0.01,2013
2437,Dynasty Warriors 3: Xtreme Legends,dynasty-warriors-3-xtreme-legends,Action,T,playstation,KOEI,Omega Force,0.74,2003
