rank,name,basename,genre,esrb_rating,platform,publisher,developer,na_sales,year
11236,Quantum Redshift,quantum-redshift,Racing,T,xbox,Microsoft Game Studios,Curly Monsters,0.09,2002
11237,Adventure Time: Finn & Jake Investigations,adventure-time-finn-amp-jake-investigations,Action,E10,xbox,Little Orbit,Vicious Cycle,0.05,2015
11238,Smash Court Tennis Pro Tournament 2,smash-court-tennis-pro-tournament-2,Sports,E,other,Namco,Namco,0.06,2004
11239,Teenage Mutant Ninja Turtles: Arcade Attack,teenage-mutant-ninja-turtles-arcade-attack,Action,E10,other,Ubisoft,Ubisoft,0.12,2009
11240,Farming Simulator 17,farming-simulator-17,Simulation,E,nintendo,Focus Home Interactive,Giants Software,0.04,2017
11241,Legends of Wrestling II,legends-of-wrestling-ii,Fighting,T,xbox,Acclaim Entertainment,Acclaim Studios Salt Lake City,0.09,2002
11243,Armed and Dangerous,armed-and-dangerous,Shooter,T,xbox,LucasArts,Planet Moon Studios,0.09,2003
11244,Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,Action,M,xbox,Rockstar Games,Rockstar North,0.09,2008
11245,The Inpatient,the-inpatient,Action,M,other,Sony Interactive Entertainment,Supermassive Games Ltd.,0.06,2018
11246,Avatar: The Last Airbender - Into the Inferno,avatar-the-last-airbender-into-the-inferno,Adventure,E,other,THQ,Halfbrick Studios,0.11,2008
11248,Actua Tennis,actua-tennis,Sports,unrated,other,Gremlin Interactive Ltd,Gremlin Interactive,0.07,1998
11249,NHL 2K7,nhl-2k7,Sports,E10,other,2K Sports,2K Sports,0.11,2006
11250,Killer is Dead,killer-is-dead,Action,M,xbox,Xseed Games,Grasshopper Manufacture,0.09,2013
11252,Need for Speed: ProStreet,need-for-speed-prostreet,Racing,E,other,Electronic Arts,EA Black Box,0.11,2007
11253,Don Bradman Cricket 14,don-bradman-cricket-14,Sports,unrated,other,Tru Blu Entertainment,Big Ant Studios,0.01,2015
11254,Record of Agarest War Zero,record-of-agarest-war-zero,Strategy,T,other,Aksys Games,Compile Heart,0.09,2011
11255,Diner Dash: Sizzle & Serve,diner-dash-sizzle-amp-serve,Puzzle,E,other,Eidos Interactive,Game Lab / Play First,0.11,2007
11256,Monster Truck Madness,monster-truck-madness,Racing,E,nintendo,THQ,Tantalus Interactive,0.09,2003
11257,MySims SkyHeroes,mysims-skyheroes,Action,E10,other,Electronic Arts,The Sims Studio,0.09,2010
