rank,name,basename,genre,esrb_rating,platform,publisher,developer,na_sales,year
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,6.37,2013
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,other,Rockstar Games,Rockstar North,6.06,2014
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,other,Rockstar Games,Rockstar North,8.41,2002
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,xbox,Rockstar Games,Rockstar North,9.06,2013
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,other,Activision,Treyarch,6.18,2015
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,xbox,Activision,Infinity Ward,9.07,2011
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,xbox,Activision,Treyarch,9.76,2010
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,other,Rockstar Games,Rockstar Games,5.26,2018
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,xbox,Activision,Treyarch,8.27,2012
48,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,other,Activision,Treyarch,4.99,2012
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,xbox,Activision,Infinity Ward,8.54,2009
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,other,Activision,Sledgehammer Games,4.67,2017
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,other,Activision,Infinity Ward,5.54,2011
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,other,Rockstar Games,DMA Design,6.99,2001
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,other,Activision,Treyarch,6.01,2010
69,FIFA 18,fifa-18,Sports,E,other,EA Sports,EA Vancouver,1.27,2017
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,xbox,Rockstar Games,Rockstar North,6.8,2008
77,FIFA 17,fifa-17,Sports,E,other,Electronic Arts,EA Canada,1.26,2016
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,other,Activision,Infinity Ward,4.99,2009
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,4.79,2008
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,xbox,Activision,Infinity Ward,6.76,2013
83,Just Dance 3,just-dance-3,Misc,E10,nintendo,Ubisoft,Ubisoft Paris,5.95,2011
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,4.11,2013
88,Halo: Reach,halo-reach,Shooter,M,xbox,Microsoft Game Studios,Bungie,7.08,2010
90,Halo 4,halo-4,Shooter,M,xbox,Microsoft Studios,343 Industries,6.72,2012
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,xbox,Activision,Infinity Ward,5.98,2007
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,other,Activision,Treyarch,4.05,2018
101,FIFA 19,fifa-19,Sports,E,other,Electronic Arts,EA Sports,0.84,2018
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,xbox,Bethesda Softworks,Bethesda Game Studios,5.1,2011
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,xbox,Rockstar Games,Rockstar North,4.7,2014
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,other,Activision,Infinity Ward,3.11,2016
114,Fallout 4,fallout-4,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,2.91,2015
119,FIFA 16,fifa-16,Sports,E,other,EA Sports,EA Canada,1.15,2015
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,other,Electronic Arts,EA DICE,3.31,2015
122,FIFA 13,fifa-13,Sports,E,other,EA Sports,EA Canada,1.07,2012
124,The Sims 3,the-sims-3,Simulation,T,pc,Electronic Arts,EA Redwood Shores,1.01,2009
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,2.9,2005
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,other,Sony Computer Entertainment,Naughty Dog,3.78,1997
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,other,Activision,Sledgehammer Games,2.84,2014
131,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,xbox,Activision,Treyarch,4.88,2008
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,xbox,Activision,Treyarch,4.63,2015
136,Battlefield 3,battlefield-3,Shooter,M,xbox,Electronic Arts,Dice,4.47,2011
138,Battlefield 1,battlefield-1,Shooter,M,other,Electronic Arts,EA DICE,2.2,2016
139,Battlefield 3,battlefield-3,Shooter,M,other,Electronic Arts,Dice,2.86,2011
140,Need for Speed Underground,need-for-speed-underground,Racing,E,other,Electronic Arts,EA Black Box,3.27,2003
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,other,Sony Computer Entertainment,Naughty Dog,3.68,1998
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,other,Electronic Arts,EA Black Box,2.71,2004
146,Just Dance 4,just-dance-4,Music,E10,nintendo,Ubisoft,Ubisoft,4.05,2012
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,other,Sony Computer Entertainment,Naughty Dog,2.77,2011
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,other,Electronic Arts,EA Los Angeles,2.93,2002
151,Zumba Fitness,zumba-fitness,Sports,E,nintendo,Majesco,"Pipeworks Software, Inc.",3.47,2010
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,other,Sony Computer Entertainment,Naughty Dog,3.28,2009
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,3.13,2007
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,other,EA Sports,EA Canada,0.84,2011
155,FIFA 14,fifa-14,Sports,E,other,EA Sports,EA Canada,0.79,2013
156,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,2.82,2011
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,2.65,2012
161,Red Dead Redemption,red-dead-redemption,Action,M,xbox,Rockstar Games,Rockstar San Diego,3.77,2010
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,2.57,2011
166,Halo 3: ODST,halo-3-odst,Shooter,M,xbox,Microsoft Game Studios,Bungie,4.34,2009
167,Minecraft,minecraft,Misc,E10,other,Sony Computer Entertainment,Mojang,1.89,2014
168,FIFA 15,fifa-15,Sports,E,other,EA Sports,EA Canada,0.83,2014
171,The Last of Us,the-last-of-us,Action-Adventure,M,other,Sony Computer Entertainment America,Naughty Dog,2.41,2013
172,Driver,driver,Action,T,other,GT Interactive,Reflections Interactive,3.11,1999
173,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,xbox,Activision,Sledgehammer Games,3.75,2017
174,God of War (2018),god-of-war-2018,Action,M,other,Sony Interactive Entertainment,SIE Santa Monica Studio,2.83,2018
176,Minecraft,minecraft,Misc,E10,other,Sony Computer Entertainment America,Mojang,2.21,2014
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,M,other,Konami,Konami Computer Entertainment Japan,2.45,2001
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,M,other,Konami,Kojima Productions,2.63,2008
185,LittleBigPlanet,littlebigplanet,Platform,E,other,Sony Computer Entertainment,Media Molecule,2.8,2008
189,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,xbox,Rockstar Games,Rockstar Games,3.76,2018
191,Destiny,destiny,Shooter,T,other,Activision,Bungie,2.53,2014
193,Tekken 2,tekken-2,Fighting,T,other,Namco,Namco,2.26,1996
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,Action,unrated,other,Sony Computer Entertainment,Bluepoint Games,2.55,2015
196,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E10,nintendo,LucasArts,Traveller's Tales,3.57,2007
197,Cooking Mama,cooking-mama,Simulation,E,other,Majesco,Office Create,3.09,2006
201,Assassin's Creed II,assassins-creed-ii,Action,M,other,Ubisoft,Ubisoft Montreal,2.54,2009
203,Assassin's Creed,assassins-creed,Action,M,xbox,Ubisoft,Ubisoft Montreal,3.28,2007
204,Batman: Arkham City,batman-arkham-city,Action,T,other,Warner Bros. Interactive,Rocksteady Studios,2.72,2011
205,Forza Motorsport 3,forza-motorsport-3,Racing,E,xbox,Microsoft Game Studios,Turn 10 Studios,2.99,2009
212,Minecraft,minecraft,Misc,E10,xbox,Microsoft Studios,Mojang,3.23,2014
213,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,other,Activision,Treyarch,2.75,2008
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,Platform,E,other,Universal Interactive,Traveller's Tales,2.07,2001
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,M,other,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,1.48,2015
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,T,other,Square Enix,Square Enix,1.75,2010
221,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,xbox,Ubisoft,Ubisoft Montreal,3.13,2012
223,Assassin's Creed II,assassins-creed-ii,Action,M,xbox,Ubisoft,Ubisoft Montreal,3.14,2009
228,Tomb Raider II,tomb-raider-ii,Adventure,T,other,Eidos Interactive,Core Design Ltd.,2.3,1997
229,Madden NFL 2004,madden-nfl-2004,Sports,E,other,EA Sports,EA Tiburon,4.26,2003
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,xbox,Activision,Sledgehammer Games,3.25,2014
238,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,Shooter,T,other,Electronic Arts,EA Los Angeles,1.98,2003
239,Battlefield 1,battlefield-1,Shooter,M,xbox,Electronic Arts,EA DICE,3.37,2016
241,Microsoft Flight Simulator,microsoft-flight-simulator,Simulation,E,pc,Microsoft,Microsoft,3.22,1996
242,Guitar Hero II,guitar-hero-ii,Misc,T,other,RedOctane,Harmonix Music Systems,3.81,2006
243,FIFA 13,fifa-13,Sports,E,xbox,EA Sports,EA Canada,1.1,2012
244,Resident Evil 5,resident-evil-5,Action,M,other,Capcom,Capcom,1.96,2009
245,Fable III,fable-iii,Role-Playing,M,xbox,Microsoft Game Studios,Lionhead Studios,3.59,2010
246,Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,Sports,E,other,Sega,Sega,1.63,2008
247,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,1.7,2006
248,FIFA Soccer 11,fifa-soccer-11,Sports,E,other,EA Sports,EA Canada,0.61,2010
250,Final Fantasy XV,final-fantasy-xv,Role-Playing,T,other,Square Enix,Square Enix,1.81,2016
251,Fallout 4,fallout-4,Role-Playing,M,xbox,Bethesda Softworks,Bethesda Game Studios,2.94,2015
252,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,T,other,Activision,Neversoft Entertainment,3.42,1999
253,Warzone 2100,warzone-2100,Strategy,T,other,Eidos Interactive,Pumpkin Studios,2.79,1999
254,Spyro the Dragon,spyro-the-dragon,Platform,E,other,Sony Computer Entertainment,Insomniac Games,3.36,1998
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,other,RedOctane,BudCat Creations,3.49,2007
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,Action,T,other,Sony Computer Entertainment,Naughty Dog,2.32,2007
264,Fallout 3,fallout-3,Role-Playing,M,xbox,Bethesda Softworks,Bethesda Game Studios,3.41,2008
266,Madden NFL 06,madden-nfl-06,Sports,E,other,EA Sports,EA Tiburon,3.98,2005
272,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,xbox,Activision,Treyarch,3.27,2018
274,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,E10,other,Activision,Vicarious Visions,1.09,2017
275,Assassin's Creed,assassins-creed,Action,M,other,Ubisoft,Ubisoft Montreal,1.91,2007
276,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,xbox,Activision,Infinity Ward,2.91,2016
277,Crash Team Racing,crash-team-racing,Racing,E,other,Sony Computer Entertainment,Naughty Dog,2.57,1999
278,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E,other,LucasArts,Traveller's Tales,2.83,2007
280,Batman: Arkham City,batman-arkham-city,Action,T,xbox,Warner Bros. Interactive,Rocksteady Studios,2.99,2011
281,Driver 2,driver-2,Action,T,other,Atari,Reflections Interactive,2.36,2000
282,The Simpsons: Hit & Run,the-simpsons-hit-amp-run,Racing,T,other,VU Games,Radical Entertainment,1.73,2003
284,Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,Sports,T,other,Activision,Neversoft Entertainment,3.05,2000
285,Monster Hunter: World,monster-hunter-world,Action,T,other,Capcom,Capcom,1.03,2018
287,The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,Action,T,other,Electronic Arts,Stormfront Studios,1.94,2002
288,Tomb Raider,tomb-raider,Action,T,other,Eidos Interactive,Core Design Ltd.,2.29,1996
291,Forza Motorsport 4,forza-motorsport-4,Racing,E,xbox,Microsoft Studios,Turn 10 Studio,2.08,2011
292,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,nintendo,RedOctane,Vicarious Visions,3.04,2007
293,"Pokemon: Let's Go, Pikachu!","pikachu""",Role-Playing,E,nintendo,Nintendo,Game Freak,2.16,2018
296,FIFA 15,fifa-15,Sports,E,other,EA Sports,EA Canada,0.59,2014
297,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,E,nintendo,Sega,Sega,1.87,2009
298,Overwatch,overwatch,Shooter,T,other,Blizzard Entertainment,Blizzard Entertainment,1.84,2016
299,Madden NFL 2005,madden-nfl-2005,Sports,E,other,EA Sports,EA Tiburon,4.18,2004
300,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,xbox,RedOctane,Neversoft,3.19,2007
301,Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,Shooter,T,other,Electronic Arts,EA DICE,1.7,2017
308,Pitfall!,pitfall,Platform,unrated,other,Activision,Activision,4.21,1982
310,Madden NFL 07,madden-nfl-07,Sports,E,other,EA Sports,EA Tiburon,3.63,2006
311,Spider-Man: The Movie,spider-man-the-movie,Action,E,other,Activision,Treyarch,2.71,2002
313,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,M,xbox,Take-Two Interactive,Bethesda Softworks,2.89,2009
315,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,T,other,Activision,Neversoft Entertainment,2.66,2001
316,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,Sports,E,other,Konami,Konami Computer Entertainment Tokyo,0.1,2007
318,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,E10,nintendo,Ubisoft,Ubisoft Montpellier,2.64,2010
319,Tom Clancy's The Division,tom-clancys-the-division,Shooter,M,other,Ubisoft,Massive Entertainment,1.49,2016
320,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,T,other,Electronic Arts,EA Canada,2.03,2005
321,Resistance: Fall of Man,resistance-fall-of-man,Shooter,M,other,Sony Computer Entertainment,Insomniac Games,1.74,2006
322,Tom Clancy's Rainbow Six: Siege,tom-clancys-rainbow-six-siege,Shooter,unrated,other,Ubisoft,Ubisoft Montreal,1.29,2015
323,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,xbox,Activision,High Moon Studios,2.81,2014
324,Watch Dogs,watch-dogs,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,1.4,2014
327,Asteroids,asteroids,Shooter,unrated,other,Atari,Atari,4,1981
330,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,other,Eidos Interactive,Rocksteady Studios,2.26,2009
331,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,other,Activision,High Moon Studios,1.59,2014
333,Namco Museum,namco-museum,Misc,E,nintendo,Namco,Mass Media,3,2001
334,Daxter,daxter,Platform,E10,other,Sony Computer Entertainment,Ready at Dawn,2.45,2006
336,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,other,Ubisoft,Ubisoft Montreal,1.41,2011
337,Metal Gear Solid 3: Snake Eater,metal-gear-solid-3-snake-eater,Action,M,other,Konami,KCEJ / Kojima Productions,1.46,2004
338,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,xbox,Ubisoft,Ubisoft Montreal,2.28,2011
339,FIFA Soccer 06,fifa-soccer-06,Sports,E,other,EA Sports,EA Canada,0.78,2005
341,Street Fighter IV,street-fighter-iv,Fighting,T,other,Capcom,Capcom / Dimps Corporation,2.04,2009
343,FIFA Soccer 12,fifa-soccer-12,Sports,E,xbox,EA Sports,EA Canada,0.85,2011
344,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,1.79,2013
345,Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles,Platform,unrated,nintendo,Ultra Games,Konami,3.38,1989
348,Frogger,frogger,Action,E,other,Hasbro Interactive,Millenium Interactive,3.79,1997
349,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,xbox,Electronic Arts,EA DICE,2.49,2015
350,FIFA 14,fifa-14,Sports,E,xbox,EA Sports,EA Canada,0.94,2013
351,Madden NFL 2003,madden-nfl-2003,Sports,E,other,EA Sports,EA Tiburon,3.36,2002
352,Assassin's Creed: Unity,assassins-creed-unity,Action,M,other,Ubisoft,Ubisoft Montreal,1.25,2014
353,Destiny 2,destiny-2,Shooter,T,other,Activision,Bungie,1.92,2017
354,Half-Life,half-life,Shooter,M,pc,Sierra Entertainment,Valve Software,4.03,1998
356,Batman: Arkham Knight,batman-arkham-knight,Action,M,other,Warner Bros. Interactive,Rocksteady Studios,1.65,2015
357,FIFA 07 Soccer,fifa-07-soccer,Sports,E,other,EA Sports,Team Fusion,0.71,2006
358,The Sims 4,the-sims-4,Simulation,T,pc,Electronic Arts,Maxis,1.2,2014
361,Fallout: New Vegas,fallout-new-vegas,Role-Playing,M,xbox,Bethesda Softworks,Obsidian Entertainment,2.67,2010
362,Assassin's Creed Origins,assassins-creed-origins,Action,M,other,Ubisoft,Ubisoft Montreal,1.22,2017
363,Far Cry 4,far-cry-4,Shooter,M,other,Ubisoft,Ubisoft Montreal,1.18,2014
364,Carnival Games,carnival-games,Misc,E,nintendo,Global Star Software,Cat Daddy Games,2.12,2007
365,World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,Sports,E,other,Konami,Konami Computer Entertainment Tokyo,0.12,2006
366,Forza Motorsport 2,forza-motorsport-2,Racing,E,xbox,Microsoft Game Studios,Turn 10 Studios,2.35,2007
367,Namco Museum Vol.3,namco-museum-vol3,Misc,E,other,Namco,Namco,2.28,1997
368,Tekken Tag Tournament,tekken-tag-tournament,Fighting,T,other,Namco,Namco,1.68,2000
377,Fallout 3,fallout-3,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,2.18,2008
379,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,pc,Bethesda Softworks,Bethesda Game Studios,1.18,2011
380,Namco Museum: 50th Anniversary,namco-museum-50th-anniversary,Misc,E10,other,Namco,Digital Eclipse,2.08,2005
381,NBA 2K16,nba-2k16,Sports,E10,other,2K Sports,Visual Concepts,2.56,2015
382,Left 4 Dead 2,left-4-dead-2,Shooter,M,xbox,Electronic Arts,Certain Affinity / Valve Software,2.67,2009
383,Far Cry 5,far-cry-5,Action,M,other,Ubisoft,Ubisoft,1.44,2018
384,Battlefield 4,battlefield-4,Shooter,M,other,Electronic Arts,EA DICE,1.4,2013
385,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,1.34,2013
386,EA Sports Active,ea-sports-active,Sports,E,nintendo,EA Sports,EA Vancouver,2.11,2009
391,Tony Hawk's Underground,tony-hawks-underground,Sports,T,other,Activision,Neversoft Entertainment,2.29,2003
392,Just Dance 2014,just-dance-2014,Music,E10,nintendo,Ubisoft,Ubisoft Paris,1.91,2013
394,Sports Champions,sports-champions,Sports,E10,other,Sony Computer Entertainment,SCE San Diego Studio,2.15,2010
395,MotorStorm,motorstorm,Racing,T,other,Sony Computer Entertainment,Evolution Studios,1.53,2007
396,World Soccer Winning Eleven 8 International,world-soccer-winning-eleven-8-international,Sports,E,other,Konami,Konami Computer Entertainment Tokyo,0.16,2005
397,Namco Museum Vol.1,namco-museum-vol1,Misc,E,other,Namco,Namco,2.12,1996
401,Gran Turismo Sport,gran-turismo-sport,Racing,E,other,Sony Interactive Entertainment,Polyphony Digital,0.63,2017
402,LEGO Indiana Jones: The Original Adventures,lego-indiana-jones-the-original-adventures,Adventure,E10,xbox,LucasArts,Traveller's Tales,2.4,2008
403,The Sims: Unleashed,the-sims-unleashed,Simulation,T,pc,Electronic Arts,Maxis,2.03,2002
405,Ratchet & Clank: Size Matters,ratchet-amp-clank-size-matters,Platform,E10,other,Sony Computer Entertainment,High Impact Games,1.4,2007
406,Harry Potter and the Sorcerer's Stone,harry-potter-and-the-sorcerers-stone,Action,E,other,Electronic Arts,Argonaut Games,1.37,2001
408,FIFA 17,fifa-17,Sports,E,xbox,Electronic Arts,EA Canada,1.04,2016
409,Spyro: Year of the Dragon,spyro-year-of-the-dragon,Platform,E,other,Sony Computer Entertainment,Insomniac Games,1.93,2000
411,FIFA Soccer 2005,fifa-soccer-2005,Sports,E,other,EA Sports,EA Canada,0.58,2004
414,Tony Hawk's Pro Skater 4,tony-hawks-pro-skater-4,Sports,T,other,Activision,Neversoft Entertainment,2.13,2002
415,Midnight Club 3: DUB Edition,midnight-club-3-dub-edition,Racing,E10,other,Rockstar Games,Rockstar Leeds,1.65,2005
416,MySims,mysims,Simulation,E,other,Electronic Arts,EA Redwood Shores,1.58,2007
418,SOCOM: U.S. Navy SEALs,socom-us-navy-seals,Shooter,M,other,Sony Computer Entertainment,Zipper Interactive,2.53,2002
419,Battlefield 4,battlefield-4,Shooter,M,other,Electronic Arts,EA DICE,1.31,2013
420,Jak and Daxter: The Precursor Legacy,jak-and-daxter-the-precursor-legacy,Platform,E,other,Sony Computer Entertainment,Naughty Dog,2.08,2001
422,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,other,Konami,Konami,0.05,2008
423,FIFA Soccer 10,fifa-soccer-10,Sports,E,other,EA Sports,EA Canada,0.6,2009
424,Guitar Hero: World Tour,guitar-hero-world-tour,Misc,T,nintendo,Activision,Vicarious Visions,2.32,2008
425,Gears of War: Ultimate Edition,gears-of-war-ultimate-edition,Shooter,M,xbox,Microsoft Studios,The Coalition,2.88,2015
426,Star Wars Battlefront,star-wars-battlefront,Shooter,T,other,LucasArts,Pandemic Studios,1.93,2004
427,Doom II,doom-ii,Shooter,M,pc,GT Interactive,id Software,2.05,1994
428,The Simpsons: Road Rage,the-simpsons-road-rage,Racing,T,other,Electronic Arts,Radical Entertainment,2.02,2001
430,Assassin's Creed Syndicate,assassins-creed-syndicate,Action,M,other,Ubisoft,Ubisoft Quebec,0.9,2015
431,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,T,other,LucasArts,Pandemic Studios,2.18,2005
432,Assassin's Creed: Unity,assassins-creed-unity,Action,M,xbox,Ubisoft,Ubisoft Montreal,2.34,2014
433,Cooking Mama 2: Dinner With Friends,cooking-mama-2-dinner-with-friends,Simulation,E,other,Majesco,Office Create,1.6,2007
435,WWF SmackDown!,wwf-smackdown,Fighting,T,other,THQ,Yuke's,2.01,2000
436,Croc: Legend of the Gobbos,croc-legend-of-the-gobbos,Platform,E,other,Fox Interactive,Argonaut Games,1.57,1997
437,Battlefield 4,battlefield-4,Shooter,M,xbox,Electronic Arts,EA DICE,2.16,2013
438,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,1.56,2006
439,The Getaway,the-getaway,Action,M,other,Sony Computer Entertainment,Team Soho,1.23,2003
440,Tomb Raider III: Adventures of Lara Croft,tomb-raider-iii-adventures-of-lara-croft,Adventure,T,other,Eidos Interactive,Core Design Ltd.,1.66,1998
441,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,xbox,Eidos Interactive,Rocksteady Studios,2.24,2009
442,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,M,xbox,Ubisoft,Ubisoft Montreal,2.87,2010
443,James Bond 007: Agent Under Fire,james-bond-007-agent-under-fire,Shooter,T,other,Electronic Arts,EA Redwood Shores,1.9,2001
444,LEGO Star Wars: The Video Game,lego-star-wars-the-video-game,Action,E,other,Eidos Interactive,Traveller's Tales,1.98,2005
445,Resident Evil 5,resident-evil-5,Action,M,xbox,Capcom,Capcom,2.13,2009
446,Rugrats in Paris: The Movie,rugrats-in-paris-the-movie,Action,E,other,THQ,Avalanche Software,1.96,2000
447,NBA 2K17,nba-2k17,Sports,E,other,2K Sports,Visual Concepts,2.28,2016
448,FIFA Soccer 11,fifa-soccer-11,Sports,E,xbox,EA Sports,EA Canada,0.71,2010
449,Spyro 2: Ripto's Rage!,spyro-2-riptos-rage,Platform,E,other,Sony Computer Entertainment,Insomniac Games,2.14,1999
450,Left 4 Dead,left-4-dead,Shooter,M,xbox,Valve Corporation,Certain Affinity / Valve Software,2.66,2008
456,FIFA Soccer 2004,fifa-soccer-2004,Sports,E,other,EA Sports,EA Canada,0.59,2003
458,Mortal Kombat X,mortal-kombat-x,Fighting,M,other,Warner Bros. Interactive Entertainment,NetherRealm Studios,1.94,2015
459,Battlefield: Bad Company 2,battlefield-bad-company-2,Shooter,M,xbox,Electronic Arts,EA Digital Illusions CE,2.11,2010
460,Borderlands,borderlands,Shooter,M,xbox,2K Games,Gearbox Software,2.43,2009
461,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,E,other,Sega,Sega,1.21,2009
463,Guitar Hero: On Tour,guitar-hero-on-tour,Misc,E10,other,Activision,Vicarious Visions,2.1,2008
465,Halo: The Master Chief Collection,halo-the-master-chief-collection,Shooter,M,xbox,Microsoft Studios,343 Industries,2.06,2014
466,LEGO Batman: The Videogame,lego-batman-the-videogame,Adventure,E10,xbox,Warner Bros. Interactive,Traveller's Tales,2.07,2008
467,Tekken 4,tekken-4,Fighting,T,other,Namco,Namco,1.55,2002
468,FIFA 14,fifa-14,Sports,E,other,EA Sports,EA Canada,0.62,2013
469,LittleBigPlanet 2,littlebigplanet-2,Platform,E,other,Sony Computer Entertainment,Media Molecule,1.83,2011
470,Grand Theft Auto 2,grand-theft-auto-2,Action,unrated,other,Rockstar Games,DMA Design,1.13,1999
471,Destiny,destiny,Shooter,T,xbox,Activision,Bungie,2.17,2014
472,Spider-Man 2,spider-man-2,Action,T,other,Activision,Treyarch,1.75,2004
475,FIFA Soccer 2003,fifa-soccer-2003,Sports,E,other,EA Sports,EA Canada,0.46,2002
