rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,publisher_ranked
760,Madden NFL 17,madden-nfl-17,Sports,E,xbox,ea sports,EA Tiburon,2.44,2016,FALSE
761,Twisted Metal 2,twisted-metal-2,Racing,T,playstation,sony computer entertainment,SingleTrac,2.44,1996,FALSE
762,The Sims: Bustin' Out,the-sims-bustin-out,Simulation,T,playstation,electronic arts,Maxis,2.43,2003,TRUE
764,Need for Speed Carbon: Own the City,need-for-speed-carbon-own-the-city,Racing,E10,playstation,electronic arts,EA Black Box,2.42,2006,TRUE
768,Sonic Adventure,sonic-adventure,Platform,E,other,sega,Sonic Team,2.42,1999,TRUE
769,Tom Clancy's Rainbow Six: Vegas 2,tom-clancys-rainbow-six-vegas-2,Shooter,M,xbox,ubisoft,Ubisoft Montreal,2.42,2008,TRUE
771,Kinect: Disneyland Adventures,kinect-disneyland-adventures,Action-Adventure,E10,xbox,microsoft studios,Frontier Developments,2.41,2011,FALSE
772,Pro Evolution Soccer 2011,pro-evolution-soccer-2011,Sports,E,playstation,konami,Konami,2.41,2010,TRUE
773,ATV Offroad Fury,atv-offroad-fury,Racing,E,playstation,sony computer entertainment,Rainbow Studios,2.41,2001,FALSE
775,NBA 2K16,nba-2k16,Sports,E10,xbox,2k sports,Visual Concepts,2.41,2015,FALSE
776,Halo: Combat Evolved Anniversary,halo-combat-evolved-anniversary,Shooter,M,xbox,microsoft studios,343 Industries,2.41,2011,FALSE
777,Need for Speed: ProStreet,need-for-speed-prostreet,Racing,E10,playstation,electronic arts,EA Black Box,2.41,2007,TRUE
778,Tetris Plus,tetris-plus,Puzzle,E,playstation,jaleco,Atlus Co.,2.4,1996,FALSE
779,Forza Motorsport 5,forza-motorsport-5,Racing,E,xbox,microsoft studios,Turn 10 Studios,2.4,2013,FALSE
780,Midnight Club: Los Angeles,midnight-club-los-angeles,Racing,T,xbox,rockstar games,Rockstar San Diego,2.4,2008,FALSE
785,Theme Hospital,theme-hospital,Strategy,E,pc,electronic arts,Bullfrog Productions,2.4,1997,TRUE
786,God of War: Ascension,god-of-war-ascension,Action,M,playstation,sony computer entertainment,SCEA Santa Monica Studio,2.4,2013,FALSE
787,Madden NFL 11,madden-nfl-11,Sports,E,playstation,ea sports,EA Tiburon,2.4,2010,FALSE
788,Batman: Arkham Origins,batman-arkham-origins,Action-Adventure,T,playstation,warner bros. interactive entertainment,Warner Bros. Interactive Entertainment,2.4,2013,FALSE
789,Frogger's Adventures: Temple of the Frog,froggers-adventures-temple-of-the-frog,Adventure,E,nintendo,konami,Konami,2.39,2001,TRUE
790,Zumba Fitness,zumba-fitness,Sports,E,xbox,majesco,"Pipeworks Software, Inc.",2.39,2010,FALSE
792,Monopoly,monopoly,Misc,unrated,pc,hasbro interactive,Unknown,2.39,1995,FALSE
793,Mortal Kombat II (US & Others sales),mortal-kombat-ii-us-amp-others-sales,Fighting,unrated,other,acclaim entertainment,Probe Entertainment Limited,2.39,1994,FALSE
794,Guitar Hero,guitar-hero,Misc,T,playstation,redoctane,Harmonix Music Systems,2.38,2005,FALSE
795,Dead Island,dead-island,Action,M,xbox,deep silver,Techland,2.38,2011,TRUE
796,WCW/nWo Revenge,wcw,Fighting,E,nintendo,thq,Aki Corp.,2.38,1998,FALSE
797,Ratchet & Clank (2016),ratchet-amp-clank-2016,Platform,E10,playstation,sony interactive entertainment,Insomniac Games,2.38,2016,FALSE
798,Yu-Gi-Oh! The Duelists of the Roses,yu-gi-oh-the-duelists-of-the-roses,Misc,unrated,playstation,konami,Konami,2.38,2003,TRUE
799,Madden NFL 08,madden-nfl-08,Sports,E,xbox,ea sports,EA Tiburon,2.37,2007,FALSE
800,The Incredibles,the-incredibles,Action,T,playstation,thq,Heavy Iron Studios,2.37,2004,FALSE
801,Tony Hawk's Underground 2,tony-hawks-underground-2,Sports,T,playstation,activision,Neversoft Entertainment,2.37,2004,FALSE
803,Madden NFL 10,madden-nfl-10,Sports,E,playstation,ea sports,EA Tiburon,2.37,2009,FALSE
804,Uncharted: The Lost Legacy,uncharted-the-lost-legacy,Action,unrated,playstation,sony interactive entertainment,Naughty Dog,2.37,2017,FALSE
805,Sonic's Ultimate Genesis Collection,sonics-ultimate-genesis-collection,Misc,E10,playstation,sega,Backbone Entertainment,2.36,2009,TRUE
809,Destiny 2,destiny-2,Shooter,T,xbox,activision,Bungie,2.35,2017,FALSE
814,LEGO Indiana Jones: The Original Adventures,lego-indiana-jones-the-original-adventures,Adventure,E10,nintendo,lucasarts,Traveller's Tales,2.35,2008,FALSE
815,Lego Marvel Super Heroes,lego-marvel-super-heroes,Action,E10,xbox,warner bros. interactive entertainment,Traveller's Tales,2.34,2013,FALSE
816,WWE SmackDown vs Raw 2008,wwe-smackdown-vs-raw-2008,Fighting,T,playstation,thq,Yuke's Media Creations,2.34,2007,FALSE
817,Dragon Age: Inquisition,dragon-age-inquisition,Role-Playing,M,playstation,electronic arts,BioWare Edmonton,2.34,2014,TRUE
818,Kinect Sports: Season Two,kinect-sports-season-two,Sports,E10,xbox,microsoft studios,Rare Ltd.,2.33,2011,FALSE
819,Madden NFL 25,madden-nfl-25,Sports,E,xbox,ea sports,EA Tiburon,2.33,2013,FALSE
821,My Fitness Coach,my-fitness-coach,Sports,E,nintendo,ubisoft,Ubisoft,2.32,2008,TRUE
822,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action,M,xbox,ubisoft,Ubisoft Montreal,2.32,2013,TRUE
825,Grand Theft Auto,grand-theft-auto,Action,M,playstation,take-two interactive,DMA Design,2.32,1998,TRUE
826,James Bond 007: Everything or Nothing,james-bond-007-everything-or-nothing,Shooter,T,playstation,electronic arts,EA Redwood Shores,2.31,2004,TRUE
828,Need for Speed: High Stakes,need-for-speed-high-stakes,Racing,E,playstation,electronic arts,EA Canada,2.31,1999,TRUE
830,The Sims 3,the-sims-3,Simulation,T,xbox,electronic arts,The Sims Studio,2.31,2010,TRUE
831,Cool Boarders 3,cool-boarders-3,Sports,E,playstation,989 studios,Idol Minds Digital Entertainment,2.31,1998,FALSE
832,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E10,playstation,lucasarts,Traveller's Tales,2.31,2007,FALSE
838,LEGO Harry Potter: Years 1-4,lego-harry-potter-years-1-4,Adventure,E10,other,warner bros. interactive,Traveller's Tales,2.29,2010,TRUE
839,Dead Island,dead-island,Action,M,playstation,deep silver,Techland,2.29,2011,TRUE
840,Tomb Raider II,tomb-raider-ii,Adventure,unrated,pc,eidos interactive,Core Design Ltd.,2.29,1997,FALSE
841,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,xbox,electronic arts,EA Black Box,2.28,2004,TRUE
842,Pro Evolution Soccer 2010,pro-evolution-soccer-2010,Sports,E,playstation,konami,Konami,2.28,2009,TRUE
846,FIFA Soccer 09,fifa-soccer-09,Sports,E,playstation,electronic arts,EA Canada,2.28,2008,TRUE
847,TOCA Championship Racing,toca-championship-racing,Racing,E,playstation,3do,Codemasters,2.28,1998,FALSE
848,Star Wars Battlefront II (US sales),star-wars-battlefront-ii-us-sales,Shooter,T,playstation,lucasarts,Pandemic Studios,2.27,2005,FALSE
853,Madden NFL 12,madden-nfl-12,Sports,E,playstation,ea sports,EA Tiburon,2.27,2011,FALSE
854,Borderlands 2,borderlands-2,Shooter,unrated,playstation,2k games,Gearbox Software,2.27,2012,FALSE
855,No Man's Sky,no-mans-sky,Action-Adventure,T,playstation,hello games,Hello Games,2.26,2016,FALSE
856,Cool Boarders 2,cool-boarders-2,Sports,E,playstation,sony computer entertainment,UEP Systems,2.25,1997,FALSE
858,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,playstation,redoctane,Neversoft,2.25,2007,FALSE
859,Just Dance Kids,just-dance-kids,Misc,E,nintendo,ubisoft,Ubisoft Paris,2.25,2010,TRUE
860,Madden NFL 15,madden-nfl-15,Sports,E,playstation,ea sports,EA Tiburon,2.25,2014,FALSE
861,Call of Duty 3,call-of-duty-3,Shooter,T,nintendo,activision,EXAKT Entertainment,2.24,2006,FALSE
864,Sonic Advance,sonic-advance,Platform,E,nintendo,sega,Dimps Corporation / Sonic Team,2.24,2002,TRUE
866,Spyro: Season of Ice,spyro-season-of-ice,Platform,E,nintendo,vivendi games,Digital Eclipse,2.23,2001,FALSE
867,Teenage Mutant Ninja Turtles II: The Arcade Game,teenage-mutant-ninja-turtles-ii-the-arcade-game,Action,unrated,nintendo,ultra games,Konami,2.23,1990,FALSE
868,Dance Dance Revolution X2,dance-dance-revolution-x2,Simulation,E10,playstation,konami,Konami Computer Entertainment Tokyo,2.23,2009,TRUE
869,Battlefield V,battlefield-v,Shooter,M,playstation,electronic arts,EA DICE,2.22,2018,TRUE
870,Prince of Persia: The Sands of Time,prince-of-persia-the-sands-of-time,Adventure,T,playstation,ubisoft,Ubisoft Montreal,2.22,2003,TRUE
871,FIFA 19,fifa-19,Sports,E,xbox,electronic arts,EA Sports,2.22,2018,TRUE
872,Star Wars: The Force Unleashed,star-wars-the-force-unleashed,Action,T,playstation,lucasarts,LucasArts,2.22,2008,FALSE
874,NBA 2K14,nba-2k14,Sports,E,playstation,2k sports,Visual Concepts,2.22,2013,FALSE
876,Madden NFL 19,madden-nfl-19,Sports,unrated,playstation,ea sports,EA Tiburon,2.21,2018,FALSE
877,Guitar Hero II,guitar-hero-ii,Misc,T,xbox,redoctane,Harmonix Music Systems,2.21,2007,FALSE
878,LEGO Indiana Jones: The Original Adventures,lego-indiana-jones-the-original-adventures,Adventure,E,other,lucasarts,Traveller's Tales,2.2,2008,FALSE
879,Need for Speed: Hot Pursuit,need-for-speed-hot-pursuit,Racing,E10,xbox,electronic arts,Criterion Games,2.2,2010,TRUE
880,Frogger,frogger,Action,unrated,other,parker bros.,Konami,2.2,1982,FALSE
881,Rock Band 2,rock-band-2,Misc,T,xbox,mtv games,Harmonix Music Systems,2.2,2008,FALSE
882,R.B.I. Baseball,rbi-baseball,Sports,unrated,nintendo,tengen,Namco,2.2,1988,FALSE
886,BioShock 2,bioshock-2,Shooter,M,xbox,2k games,2K Marin,2.2,2010,FALSE
887,High School Musical: Makin' the Cut!,high-school-musical-makin-the-cut,Puzzle,E,other,disney interactive studios,Artificial Mind and Movement,2.2,2007,FALSE
888,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,T,xbox,square enix,Square Enix,2.19,2010,TRUE
889,Skylanders SWAP Force,skylanders-swap-force,Platform,E10,nintendo,activision,Beenox,2.19,2013,FALSE
890,FIFA 15,fifa-15,Sports,E,xbox,ea sports,EA Canada,2.19,2014,FALSE
891,Star Wars: Knights of the Old Republic,star-wars-knights-of-the-old-republic,Role-Playing,T,xbox,lucasarts,BioWare Corp.,2.19,2003,FALSE
895,Pro Evolution Soccer 2012,pro-evolution-soccer-2012,Sports,E,playstation,konami,Konami,2.19,2011,TRUE
896,Saints Row,saints-row,Action,M,xbox,thq,Volition Inc.,2.18,2006,FALSE
897,Need for Speed: Payback,need-for-speed-payback,Racing,T,playstation,electronic arts,Ghost Games,2.18,2017,TRUE
898,Yu-Gi-Oh: Duel Monsters 4,yu-gi-oh-duel-monsters-4,Role-Playing,unrated,nintendo,konami,Konami,2.18,2000,TRUE
899,ATV Offroad Fury 2,atv-offroad-fury-2,Racing,E,playstation,sony computer entertainment,Rainbow Studios,2.18,2002,FALSE
900,Destiny: The Taken King,destiny-the-taken-king,Shooter,T,playstation,activision,Bungie,2.18,2015,FALSE
901,Spyro Reignited Trilogy,spyro-reignited-trilogy,Platform,unrated,playstation,activision,Toys for Bob,2.17,2018,FALSE
905,Scribblenauts,scribblenauts,Puzzle,E10,other,warner bros. interactive,5TH Cell,2.17,2009,TRUE
906,PlayerUnknown's Battlegrounds,playerunknowns-battlegrounds,Shooter,T,xbox,microsoft studios,PUBG Corporation,2.17,2017,FALSE
907,Need for Speed Rivals,need-for-speed-rivals,Racing,E10,playstation,electronic arts,Ghost Games,2.17,2013,TRUE
908,PlayStation VR Worlds,playstation-vr-worlds,Misc,M,playstation,sony interactive entertainment,SIE London Studio,2.16,2016,FALSE
910,The Sims: House Party,the-sims-house-party,Simulation,T,pc,maxis,Maxis,2.16,2001,FALSE
911,Your Shape featuring Jenny McCarthy,your-shape-featuring-jenny-mccarthy,Sports,E,nintendo,ubisoft,Ubisoft,2.16,2009,TRUE
912,Syphon Filter 2,syphon-filter-2,Shooter,M,playstation,989 studios,Eidetic,2.15,2000,FALSE
913,Battlefield: Hardline,battlefield-hardline,Shooter,M,playstation,electronic arts,EA DICE,2.15,2015,TRUE
922,SimCity 2000,simcity-2000,Simulation,E,pc,maxis,Maxis,2.14,1993,FALSE
924,Call of Duty: Roads to Victory,call-of-duty-roads-to-victory,Shooter,T,playstation,activision,Amaze Entertainment,2.14,2007,FALSE
925,Demon Attack,demon-attack,Shooter,unrated,other,imagic,Imagic,2.13,1982,FALSE
926,Dance Dance Revolution Extreme,dance-dance-revolution-extreme,Simulation,E,playstation,konami,Konami Computer Entertainment Tokyo,2.13,2004,TRUE
927,NBA 2K12,nba-2k12,Sports,E,playstation,2k sports,Visual Concepts,2.13,2011,FALSE
928,Borderlands,borderlands,Shooter,M,playstation,2k games,Gearbox Software,2.12,2009,FALSE
929,Mortal Kombat (2011),mortal-kombat-2011,Fighting,M,xbox,warner bros. interactive entertainment,NetherRealm Studios,2.12,2011,FALSE
930,Project Gotham Racing,project-gotham-racing,Racing,E,xbox,microsoft,Bizarre Creations,2.12,2001,TRUE
932,NBA 2K11,nba-2k11,Sports,E,xbox,2k sports,Visual Concepts,2.11,2010,FALSE
933,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,E,nintendo,activision,Edge of Reality,2.11,2000,FALSE
934,PES 2009: Pro Evolution Soccer,pes-2009-pro-evolution-soccer,Sports,E,playstation,konami,Konami,2.11,2008,TRUE
935,Need for Speed: Hot Pursuit 2,need-for-speed-hot-pursuit-2,Racing,E,playstation,electronic arts,EA Seattle,2.11,2002,TRUE
936,Project Gotham Racing (JP weekly sales),project-gotham-racing-jp-weekly-sales,Racing,unrated,xbox,microsoft,Bizarre Creations,2.1,2002,TRUE
937,Scooby-Doo! Night of 100 Frights,scooby-doo-night-of-100-frights,Platform,E,playstation,thq,Heavy Iron Studios,2.1,2002,FALSE
942,Battlefield 4,battlefield-4,Shooter,M,xbox,electronic arts,EA DICE,2.09,2013,TRUE
943,Need for Speed: Most Wanted 5-1-0,need-for-speed-most-wanted-5-1-0,Racing,E10,playstation,electronic arts,EA Black Box,2.09,2005,TRUE
944,Derby Stallion,derby-stallion,Sports,unrated,playstation,ascii entertainment,ParityBit,2.09,1997,FALSE
945,Just Dance 2015,just-dance-2015,Music,E10,nintendo,ubisoft,Ubisoft Paris,2.09,2014,TRUE
947,Finding Nemo,finding-nemo,Action,E,playstation,thq,Traveller's Tales,2.09,2003,FALSE
948,Madden NFL 15,madden-nfl-15,Sports,E,xbox,ea sports,EA Tiburon,2.09,2014,FALSE
949,Grand Theft Auto: Episodes from Liberty City,grand-theft-auto-episodes-from-liberty-city,Adventure,M,playstation,rockstar games,Rockstar North,2.09,2010,FALSE
951,Tetris Worlds,tetris-worlds,Puzzle,E,playstation,thq,Blue Planet Software,2.08,2002,FALSE
952,Sim Theme Park,sim-theme-park,Strategy,E,pc,electronic arts,Bullfrog Productions,2.08,1999,TRUE
953,Rock Band,rock-band,Misc,T,nintendo,mtv games,Harmonix Music Systems,2.08,2008,FALSE
954,Portal 2,portal-2,Shooter,E10,xbox,valve,Valve Software,2.08,2011,FALSE
958,Wipeout: The Game,wipeout-the-game,Misc,E10,nintendo,activision,Endemol,2.08,2010,FALSE
959,Metal Gear Solid: Peace Walker,metal-gear-solid-peace-walker,Action,T,playstation,konami,Kojima Productions,2.08,2010,TRUE
960,Spec Ops: Airborne Commando,spec-ops-airborne-commando,Shooter,T,playstation,gotham games,Big Grub,2.07,2002,FALSE
961,Dance Dance Revolution: Hottest Party,dance-dance-revolution-hottest-party,Simulation,E10,nintendo,konami,Bemani,2.07,2007,TRUE
962,The Sims 2: Pets,the-sims-2-pets,Simulation,E,other,electronic arts,Maxis,2.07,2006,TRUE
963,Rise of the Tomb Raider,rise-of-the-tomb-raider,Adventure,M,playstation,square enix,Crystal Dynamics,2.07,2016,TRUE
964,UFC 2009 Undisputed,ufc-2009-undisputed,Fighting,T,xbox,thq,Yuke's Osaka,2.07,2009,FALSE
965,Yu-Gi-Oh! The Eternal Duelist Soul,yu-gi-oh-the-eternal-duelist-soul,Strategy,E,nintendo,konami,Konami Computer Entertainment Japan,2.07,2002,TRUE
966,LittleBigPlanet 3,littlebigplanet-3,Platform,E,playstation,sony computer entertainment,Sumo Digital,2.06,2014,FALSE
968,The Incredibles,the-incredibles,Action,E,nintendo,thq,Helixe,2.06,2004,FALSE
969,Call of Duty 2,call-of-duty-2,Shooter,T,xbox,activision,Infinity Ward,2.06,2005,FALSE
970,Hitman: Absolution,hitman-absolution,Action,M,playstation,square enix,IO Interactive,2.06,2012,TRUE
971,Toy Story 3: The Video Game,toy-story-3-the-video-game,Action,E,other,disney interactive studios,Avalanche Software,2.06,2010,FALSE
972,R4: Ridge Racer Type 4,r4-ridge-racer-type-4,Racing,E,playstation,namco,Namco,2.06,1999,FALSE
973,Tom Clancy's Splinter Cell: Conviction,tom-clancys-splinter-cell-conviction,Action,M,xbox,ubisoft,Ubisoft Montreal,2.06,2010,TRUE
974,Need for Speed: Undercover,need-for-speed-undercover,Racing,T,playstation,electronic arts,EA Vancouver,2.06,2008,TRUE
975,Need for Speed: ProStreet,need-for-speed-prostreet,Racing,E10,xbox,electronic arts,EA Black Box,2.05,2007,TRUE
976,The Elder Scrolls Online: Tamriel Unlimited,the-elder-scrolls-online-tamriel-unlimited,MMO,M,playstation,bethesda softworks,ZeniMax Online Studios,2.05,2015,FALSE
977,Mortal Kombat vs DC Universe,mortal-kombat-vs-dc-universe,Fighting,T,playstation,midway games,Midway Amusement Games,2.05,2008,FALSE
978,NBA Jam,nba-jam,Sports,unrated,other,arena entertainment,Iguana Entertainment,2.05,1993,FALSE
979,Famista '89 - Kaimaku Han!!,famista-89-kaimaku-han,Sports,unrated,nintendo,namco,Namco,2.05,1989,FALSE
980,Dark Souls,dark-souls,Role-Playing,M,playstation,namco bandai,From Software,2.05,2011,FALSE
981,Middle-Earth: Shadow of War,middle-earth-shadow-of-war,Action,M,playstation,warner bros. interactive entertainment,Monolith Productions,2.04,2017,FALSE
982,SOCOM: U.S. Navy SEALs: Combined Assault,socom-us-navy-seals-combined-assault,Shooter,T,playstation,sony computer entertainment,Zipper Interactive,2.04,2006,FALSE
983,Need for Speed: ProStreet,need-for-speed-prostreet,Racing,E10,playstation,electronic arts,EA Black Box,2.04,2007,TRUE
984,Madden NFL 25,madden-nfl-25,Sports,E,playstation,electronic arts,EA Tiburon,2.04,2013,TRUE
985,Carnival Games,carnival-games,Misc,E,other,2k play,Cat Daddy Games,2.04,2008,FALSE
986,Peter Jackson's King Kong: The Official Game of the Movie,peter-jacksons-king-kong-the-official-game-of-the-movie,Action,T,playstation,ubisoft,Ubisoft Montpellier,2.04,2005,TRUE
988,PGR4 - Project Gotham Racing 4,pgr4-project-gotham-racing-4,Racing,E,xbox,microsoft game studios,Bizarre Creations,2.04,2007,FALSE
989,Dance Central 2,dance-central-2,Music,T,xbox,microsoft,Harmonix Music Systems,2.04,2011,TRUE
990,Dragon Quest XI: Echoes of an Elusive Age,dragon-quest-xi-echoes-of-an-elusive-age,Role-Playing,T,playstation,square enix,Square Enix,2.04,2018,TRUE
991,NBA 2K17,nba-2k17,Sports,E,xbox,2k sports,Visual Concepts,2.04,2016,FALSE
992,Skate 3,skate-3,Sports,T,playstation,ea sports,EA Black Box,2.03,2010,FALSE
996,Rayman Raving Rabbids: TV Party,rayman-raving-rabbids-tv-party,Misc,E10,nintendo,ubisoft,Ubisoft Paris,2.03,2008,TRUE
997,NBA Live 2004,nba-live-2004,Sports,E,playstation,ea sports,EA Canada,2.03,2003,FALSE
998,The Sims 3,the-sims-3,Simulation,T,playstation,electronic arts,The Sims Studio,2.03,2010,TRUE
1000,Just Dance 3,just-dance-3,Misc,E10,xbox,ubisoft,Ubisoft Paris,2.02,2011,TRUE
1001,Rocket League,rocket-league,Sports,E,playstation,505 games,Psyonix Studios,2.02,2016,TRUE
1002,NBA 2K18,nba-2k18,Sports,E10,xbox,2k sports,Visual Concepts,2.02,2017,FALSE
1003,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,xbox,activision,Treyarch,2.01,2015,FALSE
1004,Need for Speed: The Run,need-for-speed-the-run,Racing,T,playstation,electronic arts,EA Black Box,2.01,2011,TRUE
1008,Dead Space,dead-space,Shooter,M,playstation,electronic arts,EA Redwood Shores,2,2008,TRUE
1020,The Legend of Zelda: Ocarina of Time 3D,the-legend-of-zelda-ocarina-of-time-3d,Adventure,E10,nintendo,nintendo,GREZZO,2,2011,TRUE
1021,TouchMaster,touchmaster,Puzzle,E10,other,midway games,Midway Studios San Diego,2,2007,FALSE
1022,Mortal Kombat vs DC Universe,mortal-kombat-vs-dc-universe,Fighting,T,xbox,midway games,Midway Amusement Games,1.99,2008,FALSE
1023,Tenchu: Stealth Assassins,tenchu-stealth-assassins,Action,M,playstation,activision,Acquire,1.99,1998,FALSE
1025,Harry Potter and the Chamber of Secrets,harry-potter-and-the-chamber-of-secrets,Adventure,E,nintendo,electronic arts,Eurocom Entertainment Software,1.99,2002,TRUE
1026,Just Cause 3,just-cause-3,Action-Adventure,M,playstation,square enix,Avalanche Studios,1.98,2015,TRUE
1028,Harry Potter and the Chamber of Secrets,harry-potter-and-the-chamber-of-secrets,Adventure,E,playstation,electronic arts,Argonaut Games,1.98,2002,TRUE
1031,BioShock Infinite,bioshock-infinite,Shooter,M,xbox,2k games,Irrational Games,1.97,2013,FALSE
1032,Spyro: Enter the Dragonfly,spyro-enter-the-dragonfly,Platform,E,playstation,vu games,Check Six Games,1.97,2002,FALSE
1033,Resident Evil 6,resident-evil-6,Action,M,xbox,capcom,Capcom,1.97,2012,TRUE
1035,E.T.: The Extra Terrestrial,et-the-extra-terrestrial,Action,unrated,other,atari,Atari,1.97,1982,FALSE
1036,Dishonored 2,dishonored-2,Action,M,playstation,bethesda softworks,Arkane Studios,1.97,2016,FALSE
1037,Hot Shots Golf: Open Tee,hot-shots-golf-open-tee,Sports,E10,playstation,sony computer entertainment,Clap Hanz,1.96,2005,FALSE
1041,Lego Marvel Super Heroes,lego-marvel-super-heroes,Action,E10,playstation,warner bros. interactive entertainment,Traveller's Tales,1.96,2013,FALSE
1042,Tom Clancy's Rainbow Six: Vegas,tom-clancys-rainbow-six-vegas,Shooter,T,xbox,ubisoft,Ubisoft Montreal,1.95,2006,TRUE
1043,Crash Nitro Kart,crash-nitro-kart,Racing,E,playstation,vu games,Vicarious Visions,1.95,2003,FALSE
1044,Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,Action,M,xbox,rockstar games,Rockstar North,1.95,2005,FALSE
1046,Star Wars: Dark Forces,star-wars-dark-forces,Shooter,T,pc,lucasarts,LucasArts,1.95,1995,FALSE
1047,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,playstation,activision,Treyarch,1.95,2015,FALSE
1048,Burnout Paradise,burnout-paradise,Racing,E10,playstation,electronic arts,Criterion Games,1.95,2008,TRUE
1049,NBA Street Vol. 2,nba-street-vol-2,Sports,E,playstation,ea sports big,EA Canada,1.95,2003,FALSE
1050,Forza Horizon,forza-horizon,Racing,T,xbox,microsoft studios,Playground Games,1.94,2012,FALSE
1051,Destiny,destiny,Misc,unrated,xbox,activision,Unknown,1.94,2014,FALSE
1052,Def Jam Vendetta,def-jam-vendetta,Fighting,T,playstation,ea sports big,Aki Corporation,1.94,2003,FALSE
1053,Who Wants to be a Millionaire,who-wants-to-be-a-millionaire,Misc,E,pc,disney interactive studios,Jellyvision,1.94,1999,FALSE
1055,Scooby Doo and the Cyber Chase,scooby-doo-and-the-cyber-chase,Adventure,E,playstation,thq,Art,1.94,2001,FALSE
1057,FIFA Soccer 09,fifa-soccer-09,Sports,E,xbox,electronic arts,EA Canada,1.94,2008,TRUE
1058,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,nintendo,activision,EXAKT Entertainment,1.94,2008,FALSE
1059,Jet Moto 2,jet-moto-2,Racing,E,playstation,sony computer entertainment,SingleTrac,1.94,1997,FALSE
1060,Tom Clancy's Ghost Recon,tom-clancys-ghost-recon,Shooter,M,playstation,ubisoft,Red Storm Entertainment,1.94,2002,TRUE
1061,X-Men Legends,x-men-legends,Role-Playing,T,playstation,activision,Raven Software,1.93,2004,FALSE
1062,Mortal Kombat II,mortal-kombat-ii,Fighting,M,nintendo,acclaim entertainment,Sculptured Software,1.93,1994,FALSE
1063,Virtua Fighter 2,virtua-fighter-2,Fighting,T,other,sega,Sega-AM2,1.93,1996,TRUE
1064,The Legend of Zelda: Oracle of Ages,the-legend-of-zelda-oracle-of-ages,Adventure,E,nintendo,nintendo,Flagship,1.92,2001,TRUE
1065,Guitar Hero: World Tour,guitar-hero-world-tour,Misc,T,playstation,activision,Neversoft Entertainment,1.92,2008,FALSE
1066,Red Faction,red-faction,Shooter,M,playstation,thq,Volition Inc.,1.92,2001,FALSE
1067,The Sims: Makin' Magic,the-sims-makin-magic,Simulation,T,pc,electronic arts,Maxis,1.92,2003,TRUE
1068,MX Unleashed,mx-unleashed,Racing,E,playstation,thq,Rainbow Studios,1.92,2004,FALSE
1069,PaRappa The Rapper,parappa-the-rapper,Misc,E,playstation,sony computer entertainment,NanaOn-Sha,1.92,1997,FALSE
1070,Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,Shooter,T,xbox,electronic arts,EA DICE,1.92,2017,TRUE
1071,Need for Speed: Shift,need-for-speed-shift,Racing,E,xbox,electronic arts,Slightly Mad Studios,1.91,2009,TRUE
1073,Lego Marvel Super Heroes,lego-marvel-super-heroes,Action,E10,playstation,warner bros. interactive entertainment,Traveller's Tales,1.91,2013,FALSE
1077,Madden NFL 18,madden-nfl-18,Sports,E,xbox,ea sports,EA Tiburon,1.91,2017,FALSE
1078,Star Wars Rogue Leader: Rogue Squadron II,star-wars-rogue-leader-rogue-squadron-ii,Simulation,T,nintendo,lucasarts,Factor 5,1.9,2001,FALSE
1079,Tomb Raider (2013),tomb-raider-2013,Action,M,xbox,square enix,Crystal Dynamics,1.9,2013,TRUE
1086,Batman: Arkham Origins,batman-arkham-origins,Action-Adventure,T,xbox,warner bros. interactive entertainment,Warner Bros. Interactive Entertainment,1.9,2013,FALSE
1087,Until Dawn,until-dawn,Adventure,M,playstation,sony computer entertainment,Supermassive Games Ltd.,1.9,2015,FALSE
1088,Monopoly,monopoly,Misc,E,nintendo,electronic arts,EA Bright Light,1.89,2008,TRUE
1089,Minecraft,minecraft,Sandbox,E10,nintendo,mojang,4J Studios,1.89,2018,FALSE
1090,Ratchet & Clank Future: A Crack in Time,ratchet-amp-clank-future-a-crack-in-time,Platform,E10,playstation,sony computer entertainment,Insomniac Games,1.89,2009,FALSE
1091,Madden NFL 09,madden-nfl-09,Sports,E,playstation,ea sports,EA Tiburon,1.89,2008,FALSE
1092,Toy Story Mania!,toy-story-mania,Misc,E,nintendo,disney interactive studios,Papaya Studios,1.89,2009,FALSE
1093,Game Party 2,game-party-2,Misc,E,nintendo,midway games,FarSight Studios,1.88,2008,FALSE
1095,Yu-Gi-Oh! Forbidden Memories,yu-gi-oh-forbidden-memories,Role-Playing,E,playstation,konami,KCEJ,1.88,2002,TRUE
1096,Mortal Kombat: Deception,mortal-kombat-deception,Fighting,M,playstation,midway games,Midway Games,1.88,2004,FALSE
