rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,publisher_ranked
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,playstation,sony computer entertainment,Naughty Dog,6.74,2009,FALSE
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,playstation,activision,Infinity Ward,6.72,2007,FALSE
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,playstation,ea sports,EA Canada,6.65,2011,FALSE
155,FIFA 14,fifa-14,Sports,E,playstation,ea sports,EA Canada,6.61,2013,FALSE
156,Red Dead Redemption,red-dead-redemption,Action,M,playstation,rockstar games,Rockstar San Diego,6.57,2011,FALSE
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,playstation,ubisoft,Ubisoft Montreal,6.5,2012,TRUE
161,Red Dead Redemption,red-dead-redemption,Action,M,xbox,rockstar games,Rockstar San Diego,6.5,2010,FALSE
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,playstation,bethesda softworks,Bethesda Game Studios,6.49,2011,FALSE
166,Halo 3: ODST,halo-3-odst,Shooter,M,xbox,microsoft game studios,Bungie,6.35,2009,FALSE
167,Minecraft,minecraft,Misc,E10,playstation,sony computer entertainment,Mojang,6.33,2014,FALSE
168,FIFA 15,fifa-15,Sports,E,playstation,ea sports,EA Canada,6.32,2014,FALSE
171,The Last of Us,the-last-of-us,Action-Adventure,M,playstation,sony computer entertainment america,Naughty Dog,6.27,2013,FALSE
172,Driver,driver,Action,T,playstation,gt interactive,Reflections Interactive,6.27,1999,FALSE
173,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,xbox,activision,Sledgehammer Games,6.23,2017,FALSE
174,God of War (2018),god-of-war-2018,Action,M,playstation,sony interactive entertainment,SIE Santa Monica Studio,6.15,2018,FALSE
176,Minecraft,minecraft,Misc,E10,playstation,sony computer entertainment america,Mojang,6.05,2014,FALSE
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,M,playstation,konami,Konami Computer Entertainment Japan,6.05,2001,TRUE
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,M,playstation,konami,Kojima Productions,6,2008,TRUE
185,LittleBigPlanet,littlebigplanet,Platform,E,playstation,sony computer entertainment,Media Molecule,5.85,2008,FALSE
189,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,xbox,rockstar games,Rockstar Games,5.77,2018,FALSE
191,Destiny,destiny,Shooter,T,playstation,activision,Bungie,5.76,2014,FALSE
193,Tekken 2,tekken-2,Fighting,T,playstation,namco,Namco,5.74,1996,FALSE
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,Action,unrated,playstation,sony computer entertainment,Bluepoint Games,5.7,2015,FALSE
196,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E10,nintendo,lucasarts,Traveller's Tales,5.66,2007,FALSE
197,Cooking Mama,cooking-mama,Simulation,E,other,majesco,Office Create,5.66,2006,FALSE
201,Assassin's Creed II,assassins-creed-ii,Action,M,playstation,ubisoft,Ubisoft Montreal,5.57,2009,TRUE
203,Assassin's Creed,assassins-creed,Action,M,xbox,ubisoft,Ubisoft Montreal,5.55,2007,TRUE
204,Batman: Arkham City,batman-arkham-city,Action,T,playstation,warner bros. interactive,Rocksteady Studios,5.54,2011,TRUE
205,Forza Motorsport 3,forza-motorsport-3,Racing,E,xbox,microsoft game studios,Turn 10 Studios,5.5,2009,FALSE
212,Minecraft,minecraft,Misc,E10,xbox,microsoft studios,Mojang,5.43,2014,FALSE
213,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,playstation,activision,Treyarch,5.43,2008,FALSE
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,Platform,E,playstation,universal interactive,Traveller's Tales,5.42,2001,FALSE
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,M,playstation,warner bros. interactive entertainment,CD Projekt Red Studio,5.39,2015,FALSE
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,T,playstation,square enix,Square Enix,5.35,2010,TRUE
221,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,xbox,ubisoft,Ubisoft Montreal,5.31,2012,TRUE
223,Assassin's Creed II,assassins-creed-ii,Action,M,xbox,ubisoft,Ubisoft Montreal,5.3,2009,TRUE
228,Tomb Raider II,tomb-raider-ii,Adventure,T,playstation,eidos interactive,Core Design Ltd.,5.24,1997,FALSE
229,Madden NFL 2004,madden-nfl-2004,Sports,E,playstation,ea sports,EA Tiburon,5.23,2003,FALSE
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,xbox,activision,Sledgehammer Games,5.22,2014,FALSE
238,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,Shooter,T,playstation,electronic arts,EA Los Angeles,5.13,2003,TRUE
239,Battlefield 1,battlefield-1,Shooter,M,xbox,electronic arts,EA DICE,5.13,2016,TRUE
241,Microsoft Flight Simulator,microsoft-flight-simulator,Simulation,E,pc,microsoft,Microsoft,5.12,1996,TRUE
242,Guitar Hero II,guitar-hero-ii,Misc,T,playstation,redoctane,Harmonix Music Systems,5.12,2006,FALSE
243,FIFA 13,fifa-13,Sports,E,xbox,ea sports,EA Canada,5.11,2012,FALSE
244,Resident Evil 5,resident-evil-5,Action,M,playstation,capcom,Capcom,5.1,2009,TRUE
245,Fable III,fable-iii,Role-Playing,M,xbox,microsoft game studios,Lionhead Studios,5.1,2010,FALSE
246,Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,Sports,E,other,sega,Sega,5.1,2008,TRUE
247,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,Action,M,playstation,rockstar games,Rockstar Leeds,5.08,2006,FALSE
248,FIFA Soccer 11,fifa-soccer-11,Sports,E,playstation,ea sports,EA Canada,5.08,2010,FALSE
250,Final Fantasy XV,final-fantasy-xv,Role-Playing,T,playstation,square enix,Square Enix,5.07,2016,TRUE
251,Fallout 4,fallout-4,Role-Playing,M,xbox,bethesda softworks,Bethesda Game Studios,5.03,2015,FALSE
252,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,T,playstation,activision,Neversoft Entertainment,5.02,1999,FALSE
253,Warzone 2100,warzone-2100,Strategy,T,playstation,eidos interactive,Pumpkin Studios,5.01,1999,FALSE
254,Spyro the Dragon,spyro-the-dragon,Platform,E,playstation,sony computer entertainment,Insomniac Games,5,1998,FALSE
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,playstation,redoctane,BudCat Creations,4.98,2007,FALSE
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,Action,T,playstation,sony computer entertainment,Naughty Dog,4.97,2007,FALSE
264,Fallout 3,fallout-3,Role-Playing,M,xbox,bethesda softworks,Bethesda Game Studios,4.96,2008,FALSE
266,Madden NFL 06,madden-nfl-06,Sports,E,playstation,ea sports,EA Tiburon,4.91,2005,FALSE
272,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,xbox,activision,Treyarch,4.85,2018,FALSE
274,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,E10,playstation,activision,Vicarious Visions,4.83,2017,FALSE
275,Assassin's Creed,assassins-creed,Action,M,playstation,ubisoft,Ubisoft Montreal,4.83,2007,TRUE
276,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,xbox,activision,Infinity Ward,4.79,2016,FALSE
277,Crash Team Racing,crash-team-racing,Racing,E,playstation,sony computer entertainment,Naughty Dog,4.79,1999,FALSE
278,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,E,other,lucasarts,Traveller's Tales,4.77,2007,FALSE
280,Batman: Arkham City,batman-arkham-city,Action,T,xbox,warner bros. interactive,Rocksteady Studios,4.75,2011,TRUE
281,Driver 2,driver-2,Action,T,playstation,atari,Reflections Interactive,4.73,2000,FALSE
282,The Simpsons: Hit & Run,the-simpsons-hit-amp-run,Racing,T,playstation,vu games,Radical Entertainment,4.7,2003,FALSE
284,Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,Sports,T,playstation,activision,Neversoft Entertainment,4.68,2000,FALSE
285,Monster Hunter: World,monster-hunter-world,Action,T,playstation,capcom,Capcom,4.67,2018,TRUE
287,The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,Action,T,playstation,electronic arts,Stormfront Studios,4.67,2002,TRUE
288,Tomb Raider,tomb-raider,Action,T,playstation,eidos interactive,Core Design Ltd.,4.63,1996,FALSE
291,Forza Motorsport 4,forza-motorsport-4,Racing,E,xbox,microsoft studios,Turn 10 Studio,4.6,2011,FALSE
292,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,nintendo,redoctane,Vicarious Visions,4.6,2007,FALSE
293,"Pokemon: Let's Go, Pikachu!","pikachu""",Role-Playing,E,nintendo,nintendo,Game Freak,4.57,2018,TRUE
296,FIFA 15,fifa-15,Sports,E,playstation,ea sports,EA Canada,4.56,2014,FALSE
297,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,E,nintendo,sega,Sega,4.54,2009,TRUE
298,Overwatch,overwatch,Shooter,T,playstation,blizzard entertainment,Blizzard Entertainment,4.54,2016,FALSE
299,Madden NFL 2005,madden-nfl-2005,Sports,E,playstation,ea sports,EA Tiburon,4.53,2004,FALSE
300,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,xbox,redoctane,Neversoft,4.53,2007,FALSE
301,Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,Shooter,T,playstation,electronic arts,EA DICE,4.53,2017,TRUE
308,Pitfall!,pitfall,Platform,unrated,other,activision,Activision,4.5,1982,FALSE
310,Madden NFL 07,madden-nfl-07,Sports,E,playstation,ea sports,EA Tiburon,4.49,2006,FALSE
311,Spider-Man: The Movie,spider-man-the-movie,Action,E,playstation,activision,Treyarch,4.48,2002,FALSE
313,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,M,xbox,take-two interactive,Bethesda Softworks,4.47,2009,TRUE
315,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,T,playstation,activision,Neversoft Entertainment,4.41,2001,FALSE
