rank,name,basename,genre,esrb_rating,platform,publisher,developer,pal_sales,year
377,Fallout 3,fallout-3,Role-Playing,M,other,Bethesda Softworks,Bethesda Game Studios,1.15,2008
379,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,pc,Bethesda Softworks,Bethesda Game Studios,2.25,2011
380,Namco Museum: 50th Anniversary,namco-museum-50th-anniversary,Misc,E10,other,Namco,Digital Eclipse,1.35,2005
381,NBA 2K16,nba-2k16,Sports,E10,other,2K Sports,Visual Concepts,0.66,2015
382,Left 4 Dead 2,left-4-dead-2,Shooter,M,xbox,Electronic Arts,Certain Affinity / Valve Software,0.88,2009
383,Far Cry 5,far-cry-5,Action,M,other,Ubisoft,Ubisoft,1.73,2018
384,Battlefield 4,battlefield-4,Shooter,M,other,Electronic Arts,EA DICE,1.74,2013
385,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,M,other,Ubisoft,Ubisoft Montreal,1.86,2013
386,EA Sports Active,ea-sports-active,Sports,E,nintendo,EA Sports,EA Vancouver,1.35,2009
391,Tony Hawk's Underground,tony-hawks-underground,Sports,T,other,Activision,Neversoft Entertainment,1.17,2003
392,Just Dance 2014,just-dance-2014,Music,E10,nintendo,Ubisoft,Ubisoft Paris,1.66,2013
394,Sports Champions,sports-champions,Sports,E10,other,Sony Computer Entertainment,SCE San Diego Studio,1.13,2010
395,MotorStorm,motorstorm,Racing,T,other,Sony Computer Entertainment,Evolution Studios,1.61,2007
396,World Soccer Winning Eleven 8 International,world-soccer-winning-eleven-8-international,Sports,E,other,Konami,Konami Computer Entertainment Tokyo,1.89,2005
397,Namco Museum Vol.1,namco-museum-vol1,Misc,E,other,Namco,Namco,1.44,1996
401,Gran Turismo Sport,gran-turismo-sport,Racing,E,other,Sony Interactive Entertainment,Polyphony Digital,2.35,2017
402,LEGO Indiana Jones: The Original Adventures,lego-indiana-jones-the-original-adventures,Adventure,E10,xbox,LucasArts,Traveller's Tales,1.01,2008
403,The Sims: Unleashed,the-sims-unleashed,Simulation,T,pc,Electronic Arts,Maxis,1.56,2002
405,Ratchet & Clank: Size Matters,ratchet-amp-clank-size-matters,Platform,E10,other,Sony Computer Entertainment,High Impact Games,1.4,2007
406,Harry Potter and the Sorcerer's Stone,harry-potter-and-the-sorcerers-stone,Action,E,other,Electronic Arts,Argonaut Games,2,2001
408,FIFA 17,fifa-17,Sports,E,xbox,Electronic Arts,EA Canada,2.4,2016
409,Spyro: Year of the Dragon,spyro-year-of-the-dragon,Platform,E,other,Sony Computer Entertainment,Insomniac Games,1.58,2000
411,FIFA Soccer 2005,fifa-soccer-2005,Sports,E,other,EA Sports,EA Canada,2.48,2004
414,Tony Hawk's Pro Skater 4,tony-hawks-pro-skater-4,Sports,T,other,Activision,Neversoft Entertainment,1.18,2002
415,Midnight Club 3: DUB Edition,midnight-club-3-dub-edition,Racing,E10,other,Rockstar Games,Rockstar Leeds,1.22,2005
416,MySims,mysims,Simulation,E,other,Electronic Arts,EA Redwood Shores,1.6,2007
418,SOCOM: U.S. Navy SEALs,socom-us-navy-seals,Shooter,M,other,Sony Computer Entertainment,Zipper Interactive,0.81,2002
419,Battlefield 4,battlefield-4,Shooter,M,other,Electronic Arts,EA DICE,1.5,2013
420,Jak and Daxter: The Precursor Legacy,jak-and-daxter-the-precursor-legacy,Platform,E,other,Sony Computer Entertainment,Naughty Dog,1.09,2001
422,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,E,other,Konami,Konami,0,2008
423,FIFA Soccer 10,fifa-soccer-10,Sports,E,other,EA Sports,EA Canada,2.46,2009
424,Guitar Hero: World Tour,guitar-hero-world-tour,Misc,T,nintendo,Activision,Vicarious Visions,0.96,2008
425,Gears of War: Ultimate Edition,gears-of-war-ultimate-edition,Shooter,M,xbox,Microsoft Studios,The Coalition,0.37,2015
426,Star Wars Battlefront,star-wars-battlefront,Shooter,T,other,LucasArts,Pandemic Studios,1.22,2004
427,Doom II,doom-ii,Shooter,M,pc,GT Interactive,id Software,1.4,1994
428,The Simpsons: Road Rage,the-simpsons-road-rage,Racing,T,other,Electronic Arts,Radical Entertainment,1.17,2001
430,Assassin's Creed Syndicate,assassins-creed-syndicate,Action,M,other,Ubisoft,Ubisoft Quebec,2.06,2015
431,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,T,other,LucasArts,Pandemic Studios,1.02,2005
432,Assassin's Creed: Unity,assassins-creed-unity,Action,M,xbox,Ubisoft,Ubisoft Montreal,0.9,2014
433,Cooking Mama 2: Dinner With Friends,cooking-mama-2-dinner-with-friends,Simulation,E,other,Majesco,Office Create,1.49,2007
435,WWF SmackDown!,wwf-smackdown,Fighting,T,other,THQ,Yuke's,1.35,2000
436,Croc: Legend of the Gobbos,croc-legend-of-the-gobbos,Platform,E,other,Fox Interactive,Argonaut Games,1.79,1997
437,Battlefield 4,battlefield-4,Shooter,M,xbox,Electronic Arts,EA DICE,1.05,2013
438,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,other,Rockstar Games,Rockstar Leeds,1.4,2006
439,The Getaway,the-getaway,Action,M,other,Sony Computer Entertainment,Team Soho,1.77,2003
440,Tomb Raider III: Adventures of Lara Croft,tomb-raider-iii-adventures-of-lara-croft,Adventure,T,other,Eidos Interactive,Core Design Ltd.,1.58,1998
441,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,xbox,Eidos Interactive,Rocksteady Studios,0.95,2009
442,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,M,xbox,Ubisoft,Ubisoft Montreal,0.39,2010
443,James Bond 007: Agent Under Fire,james-bond-007-agent-under-fire,Shooter,T,other,Electronic Arts,EA Redwood Shores,1.13,2001
444,LEGO Star Wars: The Video Game,lego-star-wars-the-video-game,Action,E,other,Eidos Interactive,Traveller's Tales,1.14,2005
445,Resident Evil 5,resident-evil-5,Action,M,xbox,Capcom,Capcom,0.93,2009
446,Rugrats in Paris: The Movie,rugrats-in-paris-the-movie,Action,E,other,THQ,Avalanche Software,1.33,2000
447,NBA 2K17,nba-2k17,Sports,E,other,2K Sports,Visual Concepts,0.59,2016
448,FIFA Soccer 11,fifa-soccer-11,Sports,E,xbox,EA Sports,EA Canada,2.39,2010
449,Spyro 2: Ripto's Rage!,spyro-2-riptos-rage,Platform,E,other,Sony Computer Entertainment,Insomniac Games,1.21,1999
450,Left 4 Dead,left-4-dead,Shooter,M,xbox,Valve Corporation,Certain Affinity / Valve Software,0.49,2008
456,FIFA Soccer 2004,fifa-soccer-2004,Sports,E,other,EA Sports,EA Canada,2.36,2003
458,Mortal Kombat X,mortal-kombat-x,Fighting,M,other,Warner Bros. Interactive Entertainment,NetherRealm Studios,0.94,2015
459,Battlefield: Bad Company 2,battlefield-bad-company-2,Shooter,M,xbox,Electronic Arts,EA Digital Illusions CE,1.01,2010
460,Borderlands,borderlands,Shooter,M,xbox,2K Games,Gearbox Software,0.72,2009
461,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,E,other,Sega,Sega,1.63,2009
463,Guitar Hero: On Tour,guitar-hero-on-tour,Misc,E10,other,Activision,Vicarious Visions,1.01,2008
465,Halo: The Master Chief Collection,halo-the-master-chief-collection,Shooter,M,xbox,Microsoft Studios,343 Industries,1.04,2014
466,LEGO Batman: The Videogame,lego-batman-the-videogame,Adventure,E10,xbox,Warner Bros. Interactive,Traveller's Tales,1.04,2008
467,Tekken 4,tekken-4,Fighting,T,other,Namco,Namco,1.27,2002
468,FIFA 14,fifa-14,Sports,E,other,EA Sports,EA Canada,2.18,2013
469,LittleBigPlanet 2,littlebigplanet-2,Platform,E,other,Sony Computer Entertainment,Media Molecule,1.07,2011
470,Grand Theft Auto 2,grand-theft-auto-2,Action,unrated,other,Rockstar Games,DMA Design,2.07,1999
471,Destiny,destiny,Shooter,T,xbox,Activision,Bungie,0.92,2014
