rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,region,regional_sales
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,other,Activision,Infinity Ward,13.35,2011,europe,5.78
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,other,Activision,Infinity Ward,13.35,2011,japan,0.49
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,other,Activision,Infinity Ward,13.35,2011,other,1.54
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,other,Rockstar Games,DMA Design,13.1,2001,north america,6.99
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,other,Rockstar Games,DMA Design,13.1,2001,europe,4.51
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,other,Rockstar Games,DMA Design,13.1,2001,japan,0.3
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,other,Rockstar Games,DMA Design,13.1,2001,other,1.3
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,other,Activision,Treyarch,12.67,2010,north america,6.01
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,other,Activision,Treyarch,12.67,2010,europe,4.4
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,other,Activision,Treyarch,12.67,2010,japan,0.48
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,other,Activision,Treyarch,12.67,2010,other,1.78
69,FIFA 18,fifa-18,Sports,E,other,EA Sports,EA Vancouver,11.8,2017,north america,1.27
69,FIFA 18,fifa-18,Sports,E,other,EA Sports,EA Vancouver,11.8,2017,europe,8.64
69,FIFA 18,fifa-18,Sports,E,other,EA Sports,EA Vancouver,11.8,2017,japan,0.15
69,FIFA 18,fifa-18,Sports,E,other,EA Sports,EA Vancouver,11.8,2017,other,1.73
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,11.09,2008,north america,6.8
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,11.09,2008,europe,3.11
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,11.09,2008,japan,0.14
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,11.09,2008,other,1.04
77,FIFA 17,fifa-17,Sports,E,other,Electronic Arts,EA Canada,10.94,2016,north america,1.26
77,FIFA 17,fifa-17,Sports,E,other,Electronic Arts,EA Canada,10.94,2016,europe,7.95
77,FIFA 17,fifa-17,Sports,E,other,Electronic Arts,EA Canada,10.94,2016,japan,0.12
77,FIFA 17,fifa-17,Sports,E,other,Electronic Arts,EA Canada,10.94,2016,other,1.61
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,other,Activision,Infinity Ward,10.61,2009,north america,4.99
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,other,Activision,Infinity Ward,10.61,2009,europe,3.66
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,other,Activision,Infinity Ward,10.61,2009,japan,0.38
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,other,Activision,Infinity Ward,10.61,2009,other,1.59
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,10.57,2008,north america,4.79
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,10.57,2008,europe,3.73
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,10.57,2008,japan,0.44
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,other,Rockstar Games,Rockstar North,10.57,2008,other,1.62
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,10.41,2013,north america,6.76
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,10.41,2013,europe,2.64
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,10.41,2013,japan,0.04
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,10.41,2013,other,0.98
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,10.13,2013,north america,4.11
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,10.13,2013,europe,4.01
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,10.13,2013,japan,0.39
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,other,Activision,Infinity Ward,10.13,2013,other,1.62
88,Halo: Reach,halo-reach,Shooter,M,other,Microsoft Game Studios,Bungie,9.97,2010,north america,7.08
88,Halo: Reach,halo-reach,Shooter,M,other,Microsoft Game Studios,Bungie,9.97,2010,europe,2.01
88,Halo: Reach,halo-reach,Shooter,M,other,Microsoft Game Studios,Bungie,9.97,2010,japan,0.08
88,Halo: Reach,halo-reach,Shooter,M,other,Microsoft Game Studios,Bungie,9.97,2010,other,0.8
90,Halo 4,halo-4,Shooter,M,other,Microsoft Studios,343 Industries,9.96,2012,north america,6.72
90,Halo 4,halo-4,Shooter,M,other,Microsoft Studios,343 Industries,9.96,2012,europe,2.36
90,Halo 4,halo-4,Shooter,M,other,Microsoft Studios,343 Industries,9.96,2012,japan,0.04
90,Halo 4,halo-4,Shooter,M,other,Microsoft Studios,343 Industries,9.96,2012,other,0.83
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,9.41,2007,north america,5.98
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,9.41,2007,europe,2.39
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,9.41,2007,japan,0.13
